,raw,mean_subtract,normalized_by_cell,normalized_by_cell_and_gene,normalized_by_gene
raw,,,0.13124786156728804,1.6112441127047155,1.6584351774784258
mean_subtract,,,0.13124786156728804,1.6112441127047155,1.6584351774784258
normalized_by_cell,,,,1.6109614911116157,1.6499316921420117
normalized_by_cell_and_gene,,,,,0.6200105673065819
normalized_by_gene,,,,,
