,PC_head_row_1,PC_head_row_2,PC_anterior,PC_posterior,PC_far_posterior,time_bin,slope_e5,std_err_e5,pca_slope_e5,pca_r^2,max_PC_cell,specificity_cell,specificity
hnd-1,0.6935125657510228,0.0813559322033898,0.0351841028638223,0.0531073446327683,0.1368400545489966,270_330,-190.521823489616,7.506231389768,-2.256639624343058,0.4102429655918519,BWM_head_row_1,BWM_head_row_1,0.566714579616899
T20F10.2,0.3386409227683049,0.1972166499498495,0.15929037111334,0.1221163490471414,0.182735707121364,580_650,-21.996253808677,0.861128156762323,0.9575448574657812,0.1747949979713086,BWM_head_row_1,,
hsf-1,0.0419886656362699,0.0926069036579083,0.279495105615662,0.2497424008243173,0.3361669242658424,580_650,28.857906056813,1.241202419225,1.7260691537545565,0.6781710019769431,BWM_far_posterior,,
lin-39,0.0032310177705977,0.0,0.2266814046424624,0.7626052206445031,0.0074823569424368,390_450,-20.253373462384,1.963045458911,-0.7265913738525906,0.086232106142704,BWM_posterior,BWM_posterior,0.631982622792164
F26A10.2,0.3135819845179451,0.2838845883180858,0.1528501055594651,0.0876847290640394,0.1619985925404644,580_650,72.756204095738,2.699768541274,1.580503059318936,0.7658596834175503,BWM_head_row_1,,
ceh-99,0.0335684062059238,0.0815232722143864,0.0617771509167842,0.1283497884344146,0.6947813822284908,330_390,-63.214706635307,3.650761600534,-0.4571541701596561,0.2800550823250471,BWM_far_posterior,,
syd-9,0.1179237041351193,0.3144001164822365,0.1721607454863133,0.1902591729761211,0.2052562609202096,270_330,-50.851246915098,0.970901761010409,-0.4197997009642235,0.255544391935581,BWM_head_row_2,,
ceh-34,0.1967658818302976,0.7610839626832517,0.0230297645490892,0.0081386050644158,0.0109817858729453,510_580,3.849738390222,1.928948411348,-6.6890871554337785,0.1502198180120076,BWM_head_row_2,BWM_head_row_2,0.632994841160449
ceh-33,0.8946889080625061,0.0877672322883712,0.010976895791391,0.0065669638577317,0.0,gt_650,115.695957779639,1.965824941011,17.658670859226007,0.6031990868706556,BWM_head_row_1,BWM_head_row_1,0.761427935693231
nsy-7,0.0485706723133933,0.1711222869242986,0.3390682901005823,0.2015616728427739,0.2396770778189518,580_650,45.088294347228,2.105147320045,1.2426198663220385,0.6515812470483779,BWM_anterior,,
mdl-1,0.5523340869796517,0.2340736800106397,0.1087910626413087,0.0738130070488096,0.0309881633195903,450_510,38.362108876459,1.966794864476,0.0168614537590827,0.0003337642345772,BWM_head_row_1,,
ces-2,0.108429089226498,0.2263952083493997,0.1983368036811393,0.2495951260893036,0.2172437726536593,270_330,-73.177643442283,1.163222927289,-1.8067846237776344,0.7751525108171288,BWM_posterior,,
cey-1,0.1817687641613915,0.167513386642823,0.2045946412786148,0.1979038600270272,0.2482193478901431,450_510,13.25681147674,0.429703344242841,2.9965811682679857,0.2472330738206611,BWM_far_posterior,,
cey-4,0.250678355249426,0.3158004591943227,0.1849300772281361,0.1600918388645377,0.0884992694635775,580_650,-29.679413477868003,1.208231450549,0.698115770741924,0.1544375808557187,BWM_head_row_2,BWM_head_row_2,0.298136817406136
pat-9,0.1450286568651881,0.1814104161475205,0.2057064540244206,0.2179479192623971,0.2499065537004734,390_450,-39.735075218525,0.902934652338767,-0.1786692927354485,0.0125770876752386,BWM_far_posterior,,
Y56A3A.18,0.1339776388099298,0.1569073337123365,0.1750994883456509,0.1837218116353988,0.3502937274966837,gt_650,-35.661036232026,1.084869851028,1.4781577492877311,0.7464502740726517,BWM_far_posterior,,
nurf-1,0.1575565166712677,0.1523112787951289,0.1824637281064998,0.2186589368424281,0.2890095395846753,390_450,-45.2140493486,0.997844038712746,0.0802517431320816,0.0004398375673568,BWM_far_posterior,BWM_far_posterior,0.290798838697221
plp-1,0.3529995862639636,0.2970624741414977,0.0813405047579644,0.1018618121638394,0.1667356226727347,580_650,-19.927505557354003,1.032720011019,2.265445632343649,0.5686456244435137,BWM_head_row_1,,
nhr-3,0.2834342963653308,0.2657269338303821,0.2480195712954333,0.1621621621621621,0.0406570363466915,gt_650,67.467303241595,2.4776642011670003,1.3003723400075595,0.5622046831179888,BWM_head_row_1,,
psa-3,0.0,0.0,0.0,0.0097643097643097,0.9902356902356904,390_450,-45.361621676689005,6.207992761997001,-1.0541118459804846,0.2659286419743536,BWM_far_posterior,BWM_far_posterior,0.852299870318196
lect-2,0.0760168710912881,0.0624424298249866,0.1301691957143549,0.2153003345130169,0.5160711688563534,510_580,5.450869545389001,1.200323041809,1.529167735248371,0.2690731870222831,BWM_far_posterior,BWM_far_posterior,0.451719418329207
rnt-1,0.0087824351297405,0.0099800399201596,0.099001996007984,0.196274118429807,0.6859614105123087,450_510,16.907883100677,2.153438425911,1.0085835624784998,0.4225100521350714,BWM_far_posterior,,
ech-6,0.3471796443899448,0.223635806253832,0.1742795830778663,0.1189454322501532,0.1359595340282035,gt_650,7.756937102935,1.578156894067,1.6833007403729503,0.9111935719589348,BWM_head_row_1,,
M03D4.4,0.0393251979648827,0.3434834168547492,0.2110477793504457,0.2250487739566198,0.1810948318733024,270_330,-57.616566264092,1.250717538232,-0.8557877668178618,0.7665917184376666,BWM_head_row_2,,
sdz-38,0.8029686864579098,0.085197234648231,0.0185034566897112,0.0,0.093330622204148,580_650,60.248046702871,2.861133905012,1.293240420132721,0.4072040685675394,BWM_head_row_1,BWM_head_row_1,0.62420274379808
eya-1,0.9769012931181548,0.0137500426490156,0.0026954177897574,0.0053225971544576,0.0013306492886144,330_390,-11.354151231586,2.286656483233,-5.463910685305156,0.3048579729064247,BWM_head_row_1,,
fkh-2,0.693185270854365,0.2741867508257456,0.0298444559880034,0.0002940340491428,0.0024894882827431,270_330,-53.033491159782,2.078323183279,-14.208655175171865,0.906859202169242,BWM_head_row_1,BWM_head_row_1,0.578713459586565
ctbp-1,0.4124462098642834,0.4928831512744125,0.0443561734524991,0.0225091029460443,0.0278053624627606,580_650,50.825401762291,3.378126742791,1.0100544449610265,0.4114329150661791,BWM_head_row_2,BWM_head_row_2,0.426305185061
tbx-2,0.099469416954811,0.2139024681054012,0.2443364731131513,0.0659353761774174,0.376356265649219,390_450,-30.73409339809,1.858995703082,-1.1400829963748045,0.2298670966003385,BWM_far_posterior,,
gop-3,0.3988044406490179,0.2258753202391118,0.1567036720751494,0.1766296612581838,0.0419869057785368,580_650,-2.074827455682,1.4893083849600002,1.3466726401479547,0.818278914132665,BWM_head_row_1,,
nhr-156,0.6834544825199029,0.2298373139494634,0.0347871235721703,0.0276912426445136,0.0242298373139494,580_650,87.34233921643899,3.06400929115,2.595895496274869,0.7105806889025438,BWM_head_row_1,BWM_head_row_1,0.55869353569297
somi-1,0.2831598864711447,0.1795648060548723,0.1593188268684957,0.1604541154210028,0.2175023651844844,gt_650,-0.9014904930736408,1.011006430373,0.6433070022866477,0.2993596663877161,BWM_head_row_1,,
ham-1,0.9020358798629308,0.0145132029832695,0.0179399314654303,0.0,0.0655109856883692,330_390,-67.99465201960301,4.594751487144,-0.8871118398012279,0.3426478243497634,BWM_head_row_1,BWM_head_row_1,0.628325597369883
tlp-1,0.0079924515735139,0.0632180718210579,0.120663817505689,0.195315535327746,0.6128101237719932,330_390,-47.225332762596,2.184795196708,-1.310426889567892,0.587517919226434,BWM_far_posterior,,
hbl-1,0.1627508002594304,0.1597171370588112,0.2009958784024101,0.2226708789254555,0.2538653053538924,390_450,10.459325282775,1.219747327096,-0.2791550070899048,0.0127682473399904,BWM_far_posterior,,
hlh-1,0.1013579413309325,0.0865031135118913,0.2270988071123115,0.2370020256583389,0.3480381123865256,580_650,-57.578699603631,1.2346121537730002,1.0927054908127212,0.1227072891099232,BWM_far_posterior,,
unc-62,0.0204266421117249,0.2542971147943523,0.3176795580110497,0.4012584407612032,0.0063382443216697,330_390,-38.242714253644,0.945451557373626,-3.3959310635524327,0.5225499919185942,BWM_posterior,,
unc-98,0.2743750305758035,0.2323761068440878,0.1770705934151949,0.1869037718311237,0.1292744973337899,gt_650,13.700565523522,0.6522467072224251,3.993287723741569,0.4899543651688522,BWM_head_row_1,,
vab-7,0.0,0.004177796041367,0.0,0.0602698445311965,0.9355523594274364,270_330,-145.610190781246,4.900976732307,-0.8820213253662965,0.564712642328939,BWM_far_posterior,BWM_far_posterior,0.813490686855925
hlh-16,0.0730620155038759,0.0374031007751938,0.8327519379844961,0.0567829457364341,0.0,gt_650,2.7082919943620003,5.828051956878,0.7120449726662601,0.4406105325572694,BWM_anterior,BWM_anterior,0.65318476816069
xbp-1,0.1483458221405344,0.1530821433620811,0.2502120740845469,0.2277322211225788,0.2206277392902587,580_650,-13.704267943978,0.8658353383487709,1.006226720305719,0.0913054618381549,BWM_anterior,,
zyx-1,0.1678387587906909,0.1415210614079605,0.2135141013557601,0.2070615529616472,0.2700645254839411,580_650,55.179767867278,1.324600394735,1.4034043582443847,0.6606883251306875,BWM_far_posterior,BWM_far_posterior,0.268315829963157
hmg-1.1,0.1103050013550983,0.1072820897700502,0.1925073488023015,0.2526320178456022,0.3372735422269477,390_450,-76.794681210245,0.849884215116735,0.3277934679841205,0.0046210397732101,BWM_far_posterior,,
hmg-1.2,0.1419956743282378,0.1698559331353788,0.1837494043036768,0.2494592910297298,0.2549396972029766,390_450,-60.315828138584,0.743921401818375,-1.6372054644554903,0.2106774267738836,BWM_far_posterior,,
