,PC_head_row_1,PC_head_row_2,PC_anterior,PC_posterior,PC_far_posterior,time_bin,slope_e5,std_err_e5,pca_slope_e5,pca_r^2,specificity_cell,specificity,max_PC_cell,monotonous,transient,classification
hlh-1,135.1,115.3,302.7,315.9,463.9,580_650,-57.578699603631,1.2346121537730002,1.0927054908127212,0.1227072891099232,BWM_far_posterior,0.331723435811127,BWM_far_posterior,False,True,t_down
flh-2,321.1,192.0,95.6,50.9,42.5,270_330,-34.329933573743,2.311642136262,-0.4312814651865767,0.4847997433479025,BWM_head_row_1,0.411672518074505,BWM_head_row_1,False,True,t_up
hlh-13,39.3,23.5,189.3,231.7,86.2,450_510,41.574234905737,3.954924240696,0.2956221378600708,0.1239501141997289,BWM_posterior,0.362327715144931,BWM_posterior,False,True,t_up
hlh-16,37.7,19.3,429.7,29.3,0.0,gt_650,2.7082919943620003,5.828051956878,0.7120449726662601,0.4406105325572694,BWM_anterior,0.65318476816069,BWM_anterior,True,False,m_up
hmg-1.1,529.1,514.6,923.4,1211.8,1617.8,390_450,-76.794681210245,0.849884215116735,0.3277934679841205,0.0046210397732101,BWM_far_posterior,0.317918823750747,BWM_far_posterior,False,True,t_down
hmg-1.2,774.7,926.7,1002.5,1361.0,1390.9,390_450,-60.315828138584,0.743921401818375,-1.6372054644554903,0.2106774267738836,BWM_far_posterior,0.264170181217023,BWM_far_posterior,False,True,t_up
hnd-1,1779.9,208.8,90.3,136.3,351.2,270_330,-190.521823489616,7.506231389768,-2.256639624343058,0.4102429655918519,BWM_head_row_1,0.566714579616899,BWM_head_row_1,True,False,m_down
attf-2,280.4,294.7,425.9,457.0,527.4,330_390,-67.888326576292,1.523882771049,-0.2875076756280069,0.1871102289103166,BWM_far_posterior,0.264860592952691,BWM_far_posterior,True,False,m_down
hsf-1,32.6,71.9,217.0,193.9,261.0,580_650,28.857906056813,1.241202419225,1.7260691537545565,0.6781710019769431,BWM_far_posterior,0.332424327238775,BWM_far_posterior,False,True,t_up
ldb-1,120.3,125.4,151.2,152.9,351.5,390_450,-11.617677355554,1.4681063630800002,0.0219815090750363,0.0007760861036567,BWM_far_posterior,0.353830196964525,BWM_far_posterior,True,False,m_up
F13C5.2,211.5,221.6,289.6,313.6,342.9,390_450,-31.050072031376,1.309933397738,-0.398740250609551,0.2688564187409044,BWM_far_posterior,0.254953180920599,BWM_far_posterior,True,False,m_down
lin-28,160.7,219.1,236.2,269.9,303.3,390_450,-24.436195315158,1.362609004001,-0.1927595964141623,0.1225235789221642,BWM_far_posterior,0.258681925933239,BWM_far_posterior,False,True,t_up
lin-36,89.3,26.1,11.9,9.1,12.2,gt_650,-45.522428984118,2.72338318835,0.7759343422696112,0.6252080916057533,BWM_head_row_1,0.498337452595632,BWM_head_row_1,False,True,t_down
lin-39,3.8,0.0,266.6,896.9,8.8,390_450,-20.253373462384,1.963045458911,-0.7265913738525906,0.086232106142704,BWM_posterior,0.631982622792164,BWM_posterior,False,True,t_up
lir-2,59.4,40.9,111.0,75.1,76.7,580_650,-17.235484537449,2.146103610654,0.3939992168794453,0.6455288055665969,,,BWM_anterior,False,True,t_up
F26A10.2,222.8,201.7,108.6,62.3,115.1,580_650,72.756204095738,2.699768541274,1.580503059318936,0.7658596834175503,BWM_head_row_2,0.299639929051383,BWM_head_row_1,False,True,t_up
mab-5,0.0,7.8,6.2,52.3,111.7,580_650,-28.446178511556,3.394689807397,0.1221891534625592,0.068434340618545,BWM_far_posterior,0.550518354477073,BWM_far_posterior,False,True,t_up
mdl-1,415.3,176.0,81.8,55.5,23.3,450_510,38.362108876459,1.966794864476,0.0168614537590827,0.0003337642345772,BWM_head_row_1,0.457627057660624,BWM_head_row_1,False,True,t_down
nhr-1,50.5,6.5,85.4,84.7,57.2,580_650,43.09707857716701,2.449819040835,0.2574100772887255,0.1560311947935573,,,BWM_anterior,True,False,m_up
nhr-3,243.3,228.1,212.9,139.2,34.9,gt_650,67.467303241595,2.4776642011670003,1.3003723400075595,0.5622046831179888,BWM_head_row_1,0.286392367136629,BWM_head_row_1,True,False,m_up
lect-2,156.8,128.8,268.5,444.1,1064.5,510_580,5.450869545389001,1.200323041809,1.529167735248371,0.2690731870222831,BWM_far_posterior,0.451719418329207,BWM_far_posterior,False,True,t_up
M03D4.4,102.8,897.9,551.7,588.3,473.4,270_330,-57.616566264092,1.250717538232,-0.8557877668178618,0.7665917184376666,BWM_head_row_2,0.323063074869965,BWM_head_row_2,False,True,t_up
nhr-47,61.7,26.0,82.0,63.8,105.8,580_650,-26.290323594744,1.504954660232,-0.0215191299400989,0.0020016293277919,,,BWM_far_posterior,False,True,t_up
nhr-56,48.3,43.2,14.2,5.1,0.0,gt_650,50.371117298042,2.985175811843,0.5128586081242296,0.8480091287352377,,,BWM_head_row_1,False,True,t_up
nhr-58,202.9,126.7,109.5,92.8,58.5,580_650,47.330692019896,1.900135712535,0.7398880537937711,0.6144457329775678,BWM_head_row_1,0.324120566430024,BWM_head_row_1,False,True,t_up
T26A5.8,6.8,7.9,28.0,13.6,101.0,gt_650,-1.708793527409,2.77479824144,0.5114152473734079,0.6245339855166334,BWM_far_posterior,0.512438125680434,BWM_far_posterior,False,True,t_down
nhr-66,70.4,23.7,0.0,32.9,28.1,gt_650,27.346097801638003,1.978356314495,0.3913054102990032,0.6115217260866442,,,BWM_head_row_1,False,True,t_up
hlh-30,10.0,0.0,87.8,37.9,31.0,580_650,-1.320466138103,2.566740674366,0.2230145488446017,0.1423962358332334,BWM_anterior,0.455566013694771,BWM_anterior,False,True,t_down
W02D7.6,86.0,73.4,135.3,140.0,103.6,580_650,-23.770014064191,1.3325363367270002,0.0220190397429517,0.0014781818464163,BWM_posterior,0.270981098350785,BWM_posterior,False,True,t_up
Y66H1A.4,254.9,238.2,227.6,188.4,63.8,390_450,-42.975620170983,1.492115398687,-0.1472371191061666,0.0383926665629382,BWM_head_row_1,0.263355269104626,BWM_head_row_1,False,True,t_down
nhr-100,33.9,0.0,50.1,61.8,86.5,gt_650,24.255195497,2.405026445061,0.3527907307370274,0.4588747528808223,BWM_far_posterior,0.32937611291572,BWM_far_posterior,True,False,m_up
Y82E9BR.17,13.7,30.2,316.2,170.3,189.1,270_330,-129.477400920505,3.823477990347,-0.2662684217696386,0.3254089400792589,BWM_anterior,0.367339323426383,BWM_anterior,True,False,m_down
ztf-8,57.5,70.0,32.0,30.5,0.0,580_650,-18.283302151898,2.719153721906,0.5175512491049259,0.7579790765189034,,,BWM_head_row_2,False,True,t_up
ceh-99,35.7,86.7,65.7,136.5,738.9,330_390,-63.214706635307,3.650761600534,-0.4571541701596561,0.2800550823250471,BWM_far_posterior,0.581900563801111,BWM_far_posterior,False,True,t_up
