"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"spg-20","spg-20",8.05810666510578e-10,9.76140197987453e-10,-114.204958807608,-139.779927438813,7,2,97.9176658892296,0,0,0,7.82960296870471e-12,1.9799377169959e-11,0.99993975656637,1,TRUE,FALSE,FALSE
"ucr-11","ucr-11",0,0,-197.851967413621,-8186.91080041432,7,2,813.340607809595,0,0,0,2.0007967825309e-49,1.59756537549186e-48,0,0,FALSE,TRUE,FALSE
"pdxk-1","pdxk-1",1.32022709854326e-304,6.1459373536286e-304,-108.709865328709,-817.981719389949,7,2,58.532449708123,0,0,0,0.00125426590541763,0.00179589845112688,2.21244750121245e-304,1.09106351076922e-303,FALSE,TRUE,FALSE
"clec-90","clec-90",4.66132925974898e-270,2.04699779341905e-269,-92.7637841673305,-722.307650782583,7,2,19.6352744769571,0,0,0,1.29666908881872e-22,5.38336399197697e-22,8.20289781380428e-251,3.68558850770175e-250,TRUE,FALSE,FALSE
"glo-2","glo-2",1.21180979167261e-149,3.92438442176661e-149,-45.1750812118781,-396.58063927543,7,2,6.86118266725665,0,0,0,1.64903010723376e-29,8.52871811315862e-29,2.81846940050403e-123,8.88473703666904e-123,TRUE,FALSE,FALSE
"F57C9.4","F57C9.4",8.50306730430562e-44,1.5461081436128e-43,-141.836326041878,-247.732784047199,7,2,76.0936244697735,0,0,0,9.15366449107057e-40,6.05027573843988e-39,5.19697952301693e-07,6.41406422374491e-07,TRUE,FALSE,FALSE
"F57C9.6","F57C9.6",7.26412373521597e-16,9.68770174846266e-16,-42.7965742882123,-82.9463527578455,7,2,1.69290296985043,0,0,0,3.22978515472665e-12,8.32278875948663e-12,4.89491625635998e-06,5.89239433757313e-06,TRUE,FALSE,FALSE
"tofu-4","tofu-4",8.93197611892319e-36,1.51046246735719e-35,-28.4379755503643,-115.575107337031,7,2,1.75232217099976,0,0,0,6.62990050956798e-10,1.49420699167825e-09,1.99897484950552e-28,3.42860661228625e-28,TRUE,FALSE,FALSE
"F57C12.2","F57C12.2",4.63058550288311e-79,1.0888224750872e-78,-33.6185012899094,-221.567584297654,7,2,3.47505386548833,0,0,0,4.35866132317347e-06,7.53603380425563e-06,8.15366715468545e-76,2.0580126538388e-75,FALSE,TRUE,FALSE
"F57F4.2","F57F4.2",1.38748563923461e-15,1.8426275632343e-15,-7.82875548762908,-47.306719420349,7,2,0.504900515175293,0,0,0,5.19145966927716e-09,1.09932380570625e-08,7.19804107295007e-09,9.23073901336633e-09,TRUE,FALSE,FALSE
"F57F4.4","F57F4.4",0,0,-483.828649325383,-2366.83863175177,7,2,143.62884205397,0,0,0,9.01364886429308e-184,2.17203338327756e-182,0,0,TRUE,FALSE,FALSE
"abts-3","abts-3",0,0,-167.535801979058,-4582.72322518212,7,2,118.803803016277,0,0,0,2.90168108202445e-29,1.48927095585215e-28,0,0,TRUE,FALSE,FALSE
"frpr-10","frpr-10",1.46423882832154e-38,2.5422718525979e-38,-20.5484643679707,-114.206121360109,7,2,1.4850161701814,0,0,0,1.60800711522714e-17,5.39606217830489e-17,1.10967720586816e-23,1.80079587636407e-23,TRUE,FALSE,FALSE
"F57H12.5","F57H12.5",9.25562422217324e-06,1.05322169891759e-05,-16.7280912794851,-32.2412752403516,7,2,0.534597122591579,0,0,0,0.000201506323182129,0.000308351536404281,0.00289565587865356,0.0032479908199772,TRUE,FALSE,FALSE
"F57H12.6","F57H12.6",4.12083300557564e-16,5.51439768265002e-16,-5.20253211409944,-45.9404852835861,7,2,0.44550026770677,0,0,0,5.19046516806484e-09,1.09932380570625e-08,2.10147089063443e-09,2.71805297078929e-09,TRUE,FALSE,FALSE
"F58A6.1","F58A6.1",1.09308494569013e-79,2.57927728475858e-79,-97.61313066407,-287.01740086623,7,2,11.5241992301296,0,0,0,1.13101562244946e-09,2.50971821741333e-09,7.19000675099386e-73,1.77967294384726e-72,TRUE,FALSE,FALSE
