,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
aap-1,0.965217872139069,0.999999378271023,-45.3022858349559,-45.7855640533805,7,2,98.5448537036079,0,0,0,0.973971458517872,1.0,0.822093953212577,0.999999999918703,False,False,False
aat-1,0.0207985871754134,0.0979283918146577,-19.049357577623,-25.6948919407856,7,2,5.98301780443493,0,0,0,0.0131912000299299,0.185465119145906,0.200589022030517,0.502306459301004,False,False,False
aat-2,0.992203753718415,0.999999378271023,-56.6697217647857,-56.9186200219862,7,2,375.456099758288,0,0,0,0.84174447798142,1.0,0.98475965050767,0.999999999918703,False,False,False
aat-3,0.792501473925336,0.999999378271023,-58.3704446936707,-59.5669938462025,7,2,546.863135024794,0,0,0,0.79869381521123,1.0,0.584206838564621,0.984626260630184,False,False,False
aat-4,0.0889179870969901,0.292579558475784,-1.34373872992255,-6.12054168664852,7,2,0.22927136315229,0,0,0,0.0700702045768511,0.473712168489861,0.23697454119475,0.564073534835809,False,False,False
aat-5,0.0136616902710607,0.070926230182528,-44.7879933476507,-51.9513786000319,7,2,295.893549820793,0,0,0,1.0,1.0,0.0008157070937014,0.006534915626952,False,False,False
aat-6,0.225640036125547,0.552782844489452,-4.4174634868803,-7.88416816922117,7,2,0.346296340311698,0,0,0,0.727701223791008,1.0,0.0979922545697651,0.298110457634789,False,False,False
aat-8,2.32022955461803e-08,6.51140365665767e-07,-8.9070418773896,-30.9051935631142,7,2,4.70603132005822,0,0,0,0.001081826679142,0.0355968890507425,1.17156662094768e-06,2.09339676218955e-05,False,True,False
aat-9,0.992615759381978,0.999999378271023,-45.518431261809,-45.7615895457158,7,2,97.4950812561623,0,0,0,0.980977127021242,1.0,0.930178127046967,0.999999999918703,False,False,False
abf-1,2.10321737013365e-07,4.99815090855329e-06,-7.06975265329812,-26.7007571718624,7,2,2.82131989197767,0,0,0,0.0023498830476348,0.059767475856602,5.46228479263145e-06,8.41387498982927e-05,False,True,False
abf-2,5.69908211994187e-07,1.23411151305103e-05,-8.4778368328247,-27.0316660619115,7,2,2.56847127290681,0,0,0,0.0042661907555457,0.0890250717200496,8.68744976168629e-06,0.0001251347355469,False,True,False
abf-5,0.63563896391306,0.997989667652034,-1.48550883168467,-3.19513653310254,7,2,0.116841578138515,0,0,0,0.348886702575784,0.996260371558007,0.725991696557652,0.999999999918703,False,False,False
abl-1,0.275398090267026,0.628588448464951,-52.7031391834413,-55.8682592754075,7,2,525.61117173574,0,0,0,0.760715928240725,1.0,0.122645207196651,0.354702694776402,False,False,False
abt-2,0.0582911039259796,0.21687855113841,-14.9553564834106,-20.2912281490476,7,2,2.66029962691863,0,0,0,0.0127385737106399,0.181418923614992,0.583794625775344,0.984351258238581,False,False,False
abt-4,0.0859914581794291,0.286113915863413,-4.36917068979353,-9.19090057957873,7,2,0.465237283849192,0,0,0,0.150850919494143,0.691466866310162,0.118596285448071,0.345127926592795,False,False,False
abt-5,0.0063276105433306,0.038760347436813,-6.96284076512946,-15.0567873453241,7,2,1.4781400501062,0,0,0,0.0706367005207071,0.475910686827603,0.0123501232978164,0.0602345023216304,False,False,False
abu-1,0.0004066678488285,0.0039864745514334,-5.5399737449174,-16.8281863352008,7,2,1.0577891357901,0,0,0,0.121369345019363,0.618095603110086,0.0003709479000698,0.0033120180628631,False,False,False
abu-4,0.0066265134686749,0.0401631018135749,-1.76395336405492,-9.80265685968704,7,2,0.459576970585236,0,0,0,0.0062616959546005,0.114365521287073,0.115025995710524,0.337218474652077,False,False,False
abu-7,0.0267437913951653,0.119353575508743,-2.42888300285061,-8.76067572198404,7,2,0.518733097502144,0,0,0,0.0424763807695457,0.358544100501743,0.0959390119709257,0.293577952087923,False,False,False
abu-8,0.0042181825040913,0.0280338343821813,-26.0712981940273,-34.6479112861222,7,2,18.1290304686159,0,0,0,1.0,1.0,6.18508228937032e-05,0.0007005529047239,False,True,False
abu-10,0.0723995477344979,0.253975119596835,-21.4013308338632,-26.4522691432906,7,2,8.18020863164298,0,0,0,1.0,1.0,0.0024793306231444,0.0164775099229317,False,False,False
abu-11,0.20448830774359,0.516860694175984,-25.9301820602835,-29.54231646258,7,2,14.645465358318,0,0,0,0.396729983144192,1.0,0.146292124294361,0.401284814514609,False,False,False
ace-1,6.314615785282171e-74,9.90412404722701e-71,-83.7410931293706,-259.769315927693,7,2,558.789166009752,0,0,0,1.0,1.0,1.7837138976913099e-96,3.14736317247631e-93,False,True,False
ace-2,0.178385569741904,0.472792095846174,-1.96039137907568,-5.77098513624899,7,2,0.25872112028229,0,0,0,0.132937255567217,0.647977313393242,0.309849806368236,0.670423032908342,False,False,False
ace-3,1.1268267851798e-08,3.391532387974e-07,-40.149364333802,-62.919240046512,7,2,50.8943630212071,0,0,0,1.0,1.0,9.39752510679422e-13,4.93142990362481e-11,False,True,False
ace-4,0.14521514862025,0.410848973518369,-8.05303106649038,-12.1562914462631,7,2,1.05145426300253,0,0,0,0.833555784735802,1.0,0.0493833718438544,0.178559343480494,False,False,False
acn-1,0.448322759573825,0.849117585594334,-26.9632714323725,-29.333680009997,7,2,13.0903669040072,0,0,0,0.517250824465012,1.0,0.330971927461571,0.699925052891017,False,False,False
aco-1,0.999719753700992,0.999999378271023,-44.593666717123,-44.656094415485,7,2,79.1843655752898,0,0,0,0.947614149305015,1.0,0.99940108343482,0.999999999918703,False,False,False
aco-2,0.0002151980925566,0.0022909021678197,-56.9303592464695,-68.9403692377635,7,2,1093.07240970231,0,0,0,1.0,1.0,8.2082994802112e-06,0.000119083613014,False,True,False
acr-2,0.0145476485466008,0.0747870916840005,-13.0456997155402,-20.1321491768265,7,2,2.4380700379834,0,0,0,0.0009816413487952,0.0333097338451775,0.956160722535229,0.999999999918703,False,False,False
acr-3,0.571608011912057,0.947537561914706,-7.48134888541345,-9.40498504145232,7,2,0.665891670760362,0,0,0,1.0,1.0,0.180235510761721,0.467341012107357,False,False,False
acr-6,0.559138330699287,0.938055076121772,-1.48529110240716,-3.45166650484911,7,2,0.121393134359068,0,0,0,0.357111443327173,0.998493977959355,0.599107662069107,0.990944474630636,False,False,False
acr-7,4.97201732182446e-13,2.99935882542197e-11,-33.508030953854,-66.8583608899074,7,2,104.362927943802,0,0,0,0.0041652239933597,0.0873644901787015,4.77647840559946e-12,2.23260825077623e-10,False,True,False
acr-8,9.23110104044801e-38,3.34118518684523e-35,-96.591352056943,-188.377818990326,7,2,508.383074238917,0,0,0,1.0,1.0,1.7912913715438e-64,1.1493576818505602e-61,False,True,False
acr-9,0.371028914526741,0.75902643510208,-12.4997274143448,-15.1908589637754,7,2,1.60539716885241,0,0,0,1.0,1.0,0.0761729642235776,0.247356237170467,False,False,False
acr-10,0.150521430491754,0.420898297471136,-7.24988799927311,-11.3025904626098,7,2,0.882073113929374,0,0,0,0.0186324197228288,0.228425471997831,0.986680523949498,0.999999999918703,False,False,False
acr-11,1.90367162615589e-05,0.0002805034308435,-17.948503110082,-32.6666750463516,7,2,7.05081330695157,0,0,0,1.0,1.0,7.34100831634284e-07,1.36349570254599e-05,False,True,False
acr-12,0.895856529907726,0.999999378271023,-23.0114676258256,-23.8335543342192,7,2,5.84124384262634,0,0,0,0.48128646905944,1.0,0.980505395299983,0.999999999918703,False,False,False
acr-14,0.0797683701701648,0.271635086351542,-14.3394144570216,-19.2615762683738,7,2,3.88518852347974,0,0,0,0.0811982188243846,0.506967068910982,0.185257791540036,0.476572831318544,False,False,False
acr-15,7.669242590832391e-15,5.78925285626685e-13,-60.5421494054267,-98.2430683620015,7,2,600.982454243734,0,0,0,1.0,1.0,1.74018356327516e-16,1.29286479890485e-14,False,True,False
acr-16,1.04618466530239e-38,4.1022063153912495e-36,-96.2293379420053,-190.228583544572,7,2,121.916567114133,0,0,0,1.0,1.0,1.88600434867603e-64,1.1575146689526501e-61,False,True,False
acr-17,0.396411522714078,0.79102983526038,-12.2411856215067,-14.8222693729959,7,2,1.53338077940571,0,0,0,0.284977440592768,0.938010696836473,0.448536349175776,0.857003127364003,False,False,False
acr-18,0.154534623413922,0.428820669178479,-4.04700263401223,-8.06250985715181,7,2,0.461169079806107,0,0,0,0.09287847020897,0.54279723631988,0.350704102522457,0.724080607167911,False,False,False
acr-19,0.0113746079772135,0.0615423404393812,-20.9897879203393,-28.3766090715935,7,2,9.23127416023022,0,0,0,0.546338383941385,1.0,0.0035618869059801,0.0220524541950945,False,False,False
acr-20,0.0018129702703562,0.0140769462796198,-9.97396445705053,-19.542095070589,7,2,2.26295756073796,0,0,0,1.0,1.0,0.000158288831965,0.001584684504978,False,False,False
lgc-11,0.106696348958635,0.331307888671381,-17.9187076141569,-22.4486872818732,7,2,6.27864883397743,0,0,0,0.999585357841399,1.0,0.0285149655885562,0.117591952745562,False,False,False
acr-23,0.0014784902035096,0.0119055149530757,-10.4372303794027,-20.2424454444319,7,2,5.40938548394724,0,0,0,0.0413370123345047,0.353856033259478,0.0041483460846397,0.0248781746716732,False,False,False
act-1,0.155660160996874,0.43067401658798,-79.0128978561515,-83.0181272814344,7,2,12428.0579910885,0,0,0,1.0,1.0,0.0288084348317273,0.118525172277663,False,False,False
act-2,0.996575687138753,0.999999378271023,-62.089407761746,-62.264838502543,7,2,720.106701209592,0,0,0,0.868415179525982,1.0,0.995309336730113,0.999999999918703,False,False,False
act-3,0.397820247379399,0.792608413833111,-82.6343576370753,-85.2094824611503,7,2,15121.084658578,0,0,0,1.0,1.0,0.0830231876710531,0.263419940922586,False,False,False
act-4,0.787382922633887,0.999999378271023,-99.7150368100822,-100.928749973665,7,2,97006.6963732125,0,0,0,0.912541667173759,1.0,0.523259239998578,0.938780812381791,False,False,False
act-5,0.0002589844321685,0.0026723861436338,-44.8241913932239,-56.6247132419101,7,2,96.4512275095643,0,0,0,1.0,1.0,4.05432338154759e-08,9.93590778713989e-07,False,True,False
acy-1,0.972309303156714,0.999999378271023,-51.6846758546314,-52.1200055580827,7,2,208.337224709534,0,0,0,0.80194924780457,1.0,0.934138219453053,0.999999999918703,False,False,False
acy-2,2.35087928964572e-07,5.52163262107138e-06,-7.1848726391227,-26.6958110564164,7,2,2.02077324306619,0,0,0,0.0030629893469639,0.0712309021775016,4.74867437704751e-06,7.4397655390014e-05,False,True,False
acy-3,0.0572634813391728,0.214297800260807,-52.2091818759274,-57.5682606545655,7,2,446.962863357156,0,0,0,0.276303088258142,0.929748365638126,0.0430956587336606,0.161063891629429,False,False,False
acy-4,0.238258793419702,0.572306260749105,-9.53304053258252,-12.9183967174586,7,2,1.29373677518629,0,0,0,0.103572625403469,0.573861466985173,0.524941508137005,0.940115060722547,False,False,False
add-1,0.160895408893272,0.440752880251782,-23.894633810487,-27.8529059476834,7,2,12.1367224913035,0,0,0,0.211861791342644,0.810471828344922,0.186021345958932,0.477658189944806,False,False,False
add-2,0.893495009617452,0.999999378271023,-39.6383704466528,-40.4700023195402,7,2,49.1187883025656,0,0,0,0.518745608402285,1.0,0.950251093910444,0.999999999918703,False,False,False
adm-2,0.994072272739941,0.999999378271023,-44.1169668889551,-44.3383044163012,7,2,78.1228734082968,0,0,0,0.999138341436386,1.0,0.931658917371698,0.999999999918703,False,False,False
adm-4,0.999518400089378,0.999999378271023,-29.3267588962497,-29.4046240037524,7,2,12.6206825097309,0,0,0,0.927671340057115,1.0,0.999889484721108,0.999999999918703,False,False,False
adr-1,0.750024554709695,0.999999378271023,-51.3018258865763,-52.6390468994841,7,2,315.454836494537,0,0,0,1.0,1.0,0.33597143812044,0.707056099191287,False,False,False
adr-2,0.746096630669918,0.999999378271023,-49.0298520751113,-50.3799233642369,7,2,272.714450104506,0,0,0,1.0,1.0,0.337646726468644,0.708998214305942,False,False,False
ads-1,0.0067725137624268,0.0409074900600842,-33.9200332835954,-41.9326297627953,7,2,56.852151875597,0,0,0,0.735227689606184,1.0,0.0014977438663648,0.0108755928074108,False,False,False
