,avg
C05G5.1,6.60635
sucl-1,8.913826
folt-1,3.799441095
ceh-57,7.000639
C08E8.4,-0.6243350000000003
pfd-1,3.9486311
C09G9.5,8.4777045
gpx-5,6.21077615
fipr-8,7.882432
fipr-4,8.0756775
C14A4.9,5.2109700000000005
C15A11.2,8.550055
C15C6.1,7.65278465
xbx-9,8.358566
C15C8.5,8.9719575
C16C10.9,6.0954085
cysl-1,3.855336165
C18D1.2,8.368896233
C18D11.1,4.4921155
C18E9.9,6.0986475
C23H4.7,4.3364205
C25F9.5,8.227354
C26D10.6,8.185092000000001
C27A7.1,3.917444
C27A7.6,6.495908
C27B7.6,2.8047115000000002
C27B7.9,7.597110000000001
dmd-4,4.0739505000000005
C31H5.5,8.1132338
C33B4.2,7.6312784375
clec-182,6.721556
C34B4.4,8.619598100000001
cup-16,8.874483
rsu-1,3.6507676
C34C12.8,4.4122544999999995
ugt-33,6.3067393
C35A5.6,9.279578
dmsr-8,9.644053
acs-19,4.8179105
C38H2.3,7.890422
lgc-41,7.9099375
C40H1.3,8.5521135
ttr-5,9.2426295
C41C4.9,3.6469885
C43D7.4,8.1430425
C43F9.5,6.6007
C44C10.9,8.0768955
C44H4.6,6.95084945
C44H9.5,6.678118
C47E8.1,3.9247935000000003
C47E8.9,7.3591239999999996
C47F8.7,7.8103845
C47G2.3,10.622656
C48B4.3,6.671463
C48B4.7,8.4913105
C48B4.13,6.650495
C49C3.4,8.66290362
C49F8.3,11.1205535
C50B6.1,8.244886
C50B8.6,8.228965500000001
C54D10.5,7.5200495
ncs-5,7.678261050000001
nhr-170,8.261526
D1086.1,8.5252095
D1086.8,7.8405985000000005
D2030.4,4.8151058
DH11.2,3.5175725499999997
DH11.5,5.5772165000000005
E02A10.3,19.147275
E02A10.4,4.5494085
eif-2A,4.285344115
F01D5.1,8.5967245
scav-6,4.03138
F08B12.4,4.083658
srbc-61,8.1752415
F09B9.5,8.977245
F10A3.11,7.334909
tmem-138,6.283334
F10D11.6,7.5270705
gba-3,8.185855499999999
F13A7.12,6.338433
F13G3.12,8.543007
F13H10.1,8.991275
F13H10.5,7.57557
F14H8.4,8.2434625
try-10,6.592019499999999
ubql-1,4.0540485
F16B12.1,7.8645320000000005
F16C3.1,1.7426789999999999
F16C3.2,9.4514635
ser-5,7.4554525
clec-42,8.4508305
F16H6.3,8.420337
F16H6.7,6.7444785
F16H6.10,7.795348300000001
F17C11.12,4.800829
F19B2.5,3.276971
glb-13,6.6088070000000005
iglr-1,4.66991
F20G2.6,7.7855955
F21D5.3,7.4693735
F21D9.4,4.1193995
F21H7.3,6.5574205
F22D6.2,6.1954865
chw-1,4.327883
pals-14,12.579255
fipr-3,7.522322
F23D12.7,6.3521635
F25H2.3,7.441731000000001
F26D2.13,7.1803349
F26E4.2,4.7736944999999995
hrdl-1,8.631721
asah-2,7.0236125000000005
aptf-3,9.413025000000001
cyp-37B1,7.644118499999999
F28G4.4,7.1998325
F28H7.3,7.9157115000000005
F32B4.8,8.136225750000001
F32D8.15,6.9384475000000005
F32D8.1,6.9384475000000005
uig-1,8.025257
F33C8.4,8.1090215
F34D10.4,6.0414569
glb-15,8.4370595
F35B12.10,7.810236
F35C11.6,7.552087
cld-9,9.13430855
F35E12.9,7.53012515
F35H8.2,6.3092425
F36F2.2,7.8686549999999995
hrg-6,7.421632
F36H2.3,7.4543035
F37A8.1,7.7942205
F38A6.4,5.014796
ccch-1,4.0382905000000004
F40F8.5,8.139089
F40F12.7,9.535727999999999
F40G12.5,12.117775
F40G12.6,5.3025305000000005
F41E7.1,10.4661105
F42G10.1,8.1245795
idha-1,3.5877681
magu-4,6.2991575
F44E5.1,8.8793685
argk-1,4.3091145
F44G4.6,6.02796575
dep-1,7.3068017
hecw-1,8.3797406
F46B3.7,9.0752475
F46C5.6,3.26310185
F46C5.7,3.7369105000000005
lgc-44,7.623430000000001
lgc-47,7.008993500000001
fbxa-134,7.1165895
arrd-24,6.0234415
clec-28,7.5418375
F49E2.2,6.523403500000001
F49E2.5,4.78131765
F52A8.3,6.765024
abts-1,4.3152155
F52D10.4,9.003397
F52G2.3,6.615893385
F53F4.15,6.602069
F54C8.6,6.228631
F54D1.6,4.3474995
F54D5.12,3.7578704000000003
F54E4.3,6.0236175
F55D12.2,6.2913575
F55H12.3,7.5868412
F55H12.4,7.297359999999999
F55H12.5,7.9447475
ztf-26,8.087335
F57A8.4,9.170511
nhr-192,9.0144385
F57F5.3,5.38437
F57G8.5,7.9743390000000005
F58D12.3,9.37753495
dct-18,6.53352455
arrd-10,8.832798
F59B8.1,7.502419
F59B10.4,9.453199
dyf-18,7.533824
H12D21.9,6.7037166
K01A11.1,7.718417499999999
K01D12.10,8.0590965
cdr-4,5.513731
endu-1,8.491277
K02E11.5,8.9996905
K04H4.2,7.44763
K04H4.5,8.258458000000001
flp-25,6.611876499999999
nhr-197,6.545324
K06G5.1,6.3241315
K07A1.10,3.4139150000000003
ceeh-2,7.487831
K08C7.1,7.239595
K08C7.6,8.320896000000001
K08C7.7,3.3848431999999997
K08D8.6,8.9108365
K08E7.4,3.85395584
K08E7.8,3.359434
K09C8.7,8.78454915
cpg-7,7.3902385
K09E9.1,6.2450045
K09G1.1,5.934403
dod-17,7.4432445000000005
K10D11.5,7.005734
M02G9.1,6.53226805
mct-3,4.3882390000000004
M04C9.1,10.706480500000001
M05B5.3,8.0310595
trpa-2,6.525926
