,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
210_270,,0.1959647556951723,0.2904186625249483,0.36392566625182116,0.42445626385137497,0.4198998653612249,0.44145151294934803,0.45305049816263127
270_330,,,0.17726979937374185,0.303636053675173,0.3859618132722037,0.3891145913186872,0.41496497150255907,0.4469269793917698
330_390,,,,0.21276195587520175,0.33459393752590066,0.3625964767121501,0.39076495366106,0.4278005662564464
390_450,,,,,0.21126480059542269,0.28294128641126043,0.33207798942115657,0.3752148772460762
450_510,,,,,,0.17857699150390113,0.25616799701012904,0.32871574273871185
510_580,,,,,,,0.22204328958098793,0.30390878233802787
580_650,,,,,,,,0.29941812546092667
gt_650,,,,,,,,
