,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
210_270,,0.19390775373655583,0.3300346853118043,0.4672542023658498,0.5569144756553591,0.5737415137655216,0.6038460433271728,0.6091243107722747
270_330,,,0.21155155676995657,0.3888252531405733,0.5007278254940473,0.5246796181992659,0.55784847323109,0.5668046931970813
330_390,,,,0.23563773469305313,0.38831723073399316,0.4330721341188813,0.47458188561892106,0.4908506370625746
390_450,,,,,0.23146081415934783,0.32179681131961063,0.37174234988285626,0.3971278346704934
450_510,,,,,,0.17000354971177134,0.2509066826654153,0.30960567436136677
510_580,,,,,,,0.15981072380341935,0.25085326738566377
580_650,,,,,,,,0.1748421183292488
gt_650,,,,,,,,
