,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
210_270,,0.19583198047494915,0.30766608031704207,0.4138784550316959,0.47504620290383814,0.5166951779027236,0.5014514852672477,0.5230152034991323
270_330,,,0.20588851472800063,0.3602140024736971,0.43919900991729643,0.48538102008516937,0.47272247496311215,0.49776806309915506
330_390,,,,0.2870369912390553,0.39785364300548715,0.45406456838858333,0.4524549470504556,0.4764389087478669
390_450,,,,,0.2540364246175116,0.3663762372114354,0.3861935346300914,0.416136627135974
450_510,,,,,,0.2778754646205471,0.3252132233527106,0.3694320477819551
510_580,,,,,,,0.30588886014342487,0.35024971249056414
580_650,,,,,,,,0.3381782550686088
gt_650,,,,,,,,
