,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
270_330,,0.2344267494752647,0.3619933279591738,0.4646363283736718,0.4975886248102298,0.48394598148461077,0.5193967014823669
330_390,,,0.2261236513267131,0.38122924295202454,0.4336805840421138,0.4216395055750574,0.463695315668184
390_450,,,,0.2529794637874714,0.3440559004461357,0.3371604044140679,0.3877443692778141
450_510,,,,,0.2104967784014486,0.23501065568992027,0.32307655133855245
510_580,,,,,,0.21287633119524227,0.3033507794616042
580_650,,,,,,,0.2376699434922376
gt_650,,,,,,,
