,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
270_330,,0.22123424855337315,0.38466426347210275,0.4676611747687743,0.49852690689158496,0.5202018362274573,0.5435937845823691
330_390,,,0.23673368696359468,0.36238509290248166,0.4063681413093976,0.4367445997965831,0.4623402853564556
390_450,,,,0.21554331110521147,0.2899205367272416,0.3354006813064576,0.36590895296361087
450_510,,,,,0.1715037623863838,0.25323399543316977,0.3019978925349706
510_580,,,,,,0.21478893769978344,0.2671319367716576
580_650,,,,,,,0.20717255700730494
gt_650,,,,,,,
