,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
210_270,,0.17808690245461745,0.33463933189387135,0.4736899796196666,0.5553508818908726,0.5764408627691869,0.5782286199135775,0.5913052791058911
270_330,,,0.21909810907912586,0.3932217928435032,0.496538194505293,0.5234752799745737,0.5288281177500743,0.5461555077228873
330_390,,,,0.2313189002724111,0.3733864158581707,0.4214151910093552,0.43522856260819776,0.4599393555733966
390_450,,,,,0.21359365252577286,0.30375767016813254,0.3330279381197068,0.36884329177144304
450_510,,,,,,0.17077424893348078,0.24153078441992404,0.3189545022419853
510_580,,,,,,,0.16603835769010214,0.2832601508784239
580_650,,,,,,,,0.2263386908746726
gt_650,,,,,,,,
