,t1,t2,avg
arl-6,5.100000e+02,5.750000e+02,542.5
arr-1,330.0000,575.0000,452.5
aars-1,155.0000,390.0000,272.5
aars-2,390.0000,575.0000,482.5
art-1,450.0000,650.0000,550.0
arx-1,155.0000,390.0000,272.5
arx-2,390.0000,650.0000,520.0
arx-3,212.5000,650.0000,431.25
exos-4.2,212.50000,650.00000,431.25
arx-5,390.00000,575.00000,482.5
arx-6,212.5000,575.0000,393.75
arx-7,510.0000,575.0000,542.5
asb-1,155.0000,212.5000,183.75
asb-2,450.0000,650.0000,550.0
asc-1,450.00000,650.00000,550.0
asg-1,390.0000,575.0000,482.5
asg-2,450.0000,650.0000,550.0
asm-1,575.00000,650.00000,612.5
asm-2,3.900000e+02,5.100000e+02,450.0
asp-1,155.000000,575.000000,365.0
asp-2,155.000000,575.000000,365.0
asp-3,212.4999965,575.0000000,393.74999825
asp-4,212.5000,390.0000,301.25
asp-5,510.00000,575.00000,542.5
asp-6,1.550000e+02,4.500000e+02,302.5
atf-2,390.0000,450.0000,420.0
atf-5,212.5000,390.0000,301.25
atf-6,155.00000,650.00000,402.5
atf-7,212.5000,650.0000,431.25
atgp-1,155.00000,390.00000,272.5
atgp-2,155.00000,330.00000,242.5
atl-1,155.00000,510.00000,332.5
atm-1,330.00000,510.00000,420.0
atn-1,575.0000,650.0000,612.5
atp-2,450.000,650.000,550.0
atp-3,450.000,650.000,550.0
atx-2,155.0000,575.0000,365.0
avr-14,155.00000,450.00000,302.5
avr-15,212.500000,575.000000,393.75
baf-1,330.0000,575.0000,452.5
bag-1,155.0000,330.0000,242.5
bam-2,270.000000,650.000000,460.0
bar-1,155.000000,450.000000,302.5
bas-1,270.0000000,450.0000000,360.0
pah-1,1.550000e+02,5.750000e+02,365.0
bbs-1,5.750000e+02,6.500000e+02,612.5
bbs-2,510.000000,575.000000,542.5
bbs-8,330.000000,575.000000,452.5
bca-1,575.00000,650.00000,612.5
bec-1,330.00000,390.00000,360.0
ben-1,155.00000,510.00000,332.5
bir-1,212.5000,510.0000,361.25
bir-2,155.000000,575.000000,365.0
bli-2,155.0000000,212.5000000,183.75
bli-3,450.000000,650.000000,550.0
bli-4,270.00000,575.00000,422.5
bli-5,212.500000,650.000000,431.25
bli-6,5.750000e+02,6.500000e+02,612.5
bmk-1,330.0000,650.0000,490.0
bpl-1,510.00000,650.00000,580.0
bra-1,212.50000,650.00000,431.25
F23H11.5,212.5000,450.0000,331.25
brc-1,212.50000,330.00000,271.25
brd-1,155.00000,330.00000,242.5
bre-1,155.00000,390.00000,272.5
bre-2,212.5000000,650.0000000,431.25
bre-3,330.00000,510.00000,420.0
bre-4,212.50000,650.00000,431.25
bre-5,450.00000,650.00000,550.0
brf-1,390.00000,650.00000,520.0
bro-1,390.00000,510.00000,450.0
brp-1,155.000000,390.000000,272.5
btf-1,155.00000,575.00000,365.0
bub-1,212.5000,330.0000,271.25
byn-1,155.0000,450.0000,302.5
cab-1,155.0000,212.5000,183.75
cah-1,212.50000,510.00000,361.25
cah-2,390.000000,510.000000,450.0
cah-3,510.000000,575.000000,542.5
cah-4,212.5000000,650.0000000,431.25
cah-5,155.000000,450.000000,302.5
cah-6,155.000000,450.000000,302.5
cal-1,450.00000,650.00000,550.0
cal-2,212.4999859,450.0000000,331.24999295
cal-3,4.500000e+02,6.500000e+02,550.0
cal-4,510.0000000,650.0000000,580.0
cam-1,212.5000,450.0000,331.25
cap-1,212.5000,390.0000,301.25
cap-2,155.0000,510.0000,332.5
cas-1,390.0000,510.0000,450.0
cat-1,5.100000e+02,5.750000e+02,542.5
cat-2,2.125000e+02,2.700000e+02,241.25
cat-4,510.000000,575.000000,542.5
cav-1,212.500,510.000,361.25
cav-2,212.5000000,575.0000000,393.75
cbp-1,155.0000,650.0000,402.5
cca-1,330.0000,450.0000,390.0
ccb-1,155.000000,330.000000,242.5
ccf-1,390.00000,650.00000,520.0
ccg-1,575.0000,650.0000,612.5
cco-1,450.000,650.000,550.0
cyp-13A7,5.750000e+02,6.500000e+02,612.5
cyp-14A5,5.750000e+02,6.500000e+02,612.5
cyp-44A1,212.50000,330.00000,271.25
ccr-4,155.0000,650.0000,402.5
cct-1,212.5000,510.0000,361.25
cct-2,155.0000,510.0000,332.5
cct-4,155.0000,510.0000,332.5
cct-5,212.500,510.000,361.25
cct-6,155.0000,510.0000,332.5
cdc-6,155.00000,650.00000,402.5
cdc-14,212.5000,450.0000,331.25
cdc-25.1,330.000000,650.000000,490.0
cdc-25.2,330.0000,450.0000,390.0
cdc-25.3,212.500000,450.000000,331.25
cdc-25.4,270.000000,650.000000,460.0
cdc-42,212.5000,450.0000,331.25
cdd-1,155.00000000,575.00000000,365.0
cdd-2,155.00000,390.00000,272.5
cdf-1,450.00000,510.00000,480.0
cdh-3,330.000000,650.000000,490.0
cdh-4,155.0000,390.0000,272.5
cdh-5,155.000000,450.000000,302.5
cdh-9,390.000000,450.000000,420.0
casy-1,575.00000,650.00000,612.5
cdk-1,330.00000,510.00000,420.0
cdk-4,155.00000,575.00000,365.0
cdk-5,330.0000,650.0000,490.0
cdk-7,155.0000,390.0000,272.5
cdk-8,330.0000,650.0000,490.0
cdk-9,390.00000,575.00000,482.5
cdl-1,155.0000,330.0000,242.5
cdr-1,450.0000000,575.0000000,512.5
cdt-1,155.00000,330.00000,242.5
cec-1,270.0000,450.0000,360.0
ced-1,212.50000,330.00000,271.25
ced-2,330.00000,510.00000,420.0
ced-3,155.00000,330.00000,242.5
ced-4,330.00000,575.00000,452.5
ced-5,212.50000,330.00000,271.25
ced-6,330.00000,575.00000,452.5
ced-7,155.00000,575.00000,365.0
ced-8,155.0000,212.5000,183.75
ced-9,155.00000,330.00000,242.5
ced-10,390.0000,510.0000,450.0
ced-11,450.0000,575.0000,512.5
ced-12,155.0000,212.5000,183.75
ced-13,5.750000e+02,6.500000e+02,612.5
