,anterior,far_posterior,head_row_1,head_row_2,posterior
zfh-2,0.0,0.0,1.9857142857142855,1.2285714285714284,0.5125
nhr-128,0.1,0.225,0.2428571428571428,3.128571428571429,0.1375
nhr-218,0.1125,0.0,3.971428571428572,0.0,0.0
ets-9,0.7999999999999999,0.8875,1.2428571428571429,0.4714285714285714,0.6875000000000001
ztf-26,0.175,2.45,0.5285714285714286,1.2714285714285716,0.05
zip-3,2.7,0.0,0.7000000000000001,1.0142857142857142,0.5125
hsf-1,1.4125,2.15,0.1714285714285714,0.9571428571428572,0.35
nhr-121,0.25,1.4125,0.7142857142857143,2.642857142857143,0.4375
sel-7,0.0,2.4,1.2142857142857142,0.9857142857142858,1.0375
cky-1,0.775,0.2875,2.1,2.457142857142857,1.1375
nhr-156,0.3,0.0,2.5857142857142854,2.7142857142857144,1.5874999999999997
dsc-1,1.3125,1.7125,2.142857142857143,1.957142857142857,1.7000000000000002
madf-1,1.15,4.3875,0.0142857142857142,1.4857142857142858,2.15
nhr-135,2.35,1.4375,0.4571428571428572,4.471428571428572,0.5125
sdz-12,2.7625,2.775,0.8571428571428571,1.542857142857143,2.2375
ceh-54,1.0125,6.45,0.8571428571428571,1.2142857142857142,0.875
nhr-225,0.9125,4.9375,1.3,1.842857142857143,1.425
mef-2,5.9625,0.2625,3.128571428571429,0.8714285714285713,1.075
nhr-41,2.075,3.0125,3.5,1.1428571428571428,2.1125
nhr-163,1.7625,0.5625,6.842857142857143,2.142857142857143,2.025
nhr-184,2.2,4.825,5.257142857142857,0.3428571428571428,1.0
cebp-1,2.2875,5.1125,1.2285714285714289,4.214285714285714,1.8875
nhr-3,1.125,0.2875,7.714285714285714,5.642857142857143,0.1875
F55B11.4,2.1625,0.2375,2.4,8.242857142857144,2.45
elt-1,2.8625,4.324999999999999,4.828571428571428,1.1428571428571428,2.375
ceh-2,2.9125,3.0125,4.071428571428571,2.814285714285714,3.0375
unc-3,2.0375,8.0125,1.4571428571428573,1.3571428571428572,3.175
zip-1,0.8625,9.0625,1.542857142857143,3.0857142857142854,1.5499999999999998
nhr-238,2.75,4.4375,2.1142857142857143,3.971428571428572,2.85
ccch-1,0.75,0.0,4.271428571428571,9.228571428571428,2.8000000000000003
nhr-40,3.8375,1.7000000000000002,4.057142857142857,6.4,1.6749999999999998
nhr-158,2.95,4.1125,2.5,12.385714285714286,4.499999999999999
zip-8,10.7625,4.1625,2.2571428571428576,6.085714285714286,4.925000000000001
ztf-30,4.125,5.237499999999999,8.857142857142858,7.271428571428572,3.5625
dmd-8,4.550000000000001,6.699999999999999,2.5285714285714285,6.071428571428571,10.2375
bed-3,4.887499999999999,1.9125,13.87142857142857,9.071428571428571,1.2375
aptf-1,8.850000000000001,6.775,10.357142857142858,4.4,2.4625
nhr-216,7.475,9.975,7.428571428571429,6.557142857142858,6.0875
npax-4,7.3375,1.875,11.37142857142857,7.671428571428572,9.625
ceh-37,12.062499999999998,0.7,5.242857142857143,11.87142857142857,10.05
nhr-116,2.7625,12.45,19.17142857142857,8.37142857142857,1.8875
nhr-183,9.525000000000002,8.6125,7.571428571428571,8.6,12.2625
cfi-1,12.8,2.4875,14.214285714285714,25.442857142857143,2.9875000000000003
nhr-126,10.625,7.574999999999999,7.371428571428572,21.485714285714288,16.7875
F21A9.2,20.5375,12.775,15.12857142857143,5.128571428571428,12.0625
fos-1,11.075,15.575,11.942857142857145,16.671428571428574,13.9125
moe-3,9.6,12.5,28.942857142857143,7.785714285714286,14.075
mxl-3,13.8375,13.2875,20.471428571428568,15.7,20.825
sdz-38,35.8375,51.1625,36.371428571428574,26.31428571428572,53.4375
Y105C5A.15,7.425,3.1125000000000003,171.99999999999997,57.52857142857143,6.8875
nhr-96,44.3125,65.575,69.28571428571429,54.88571428571429,39.3625
nhr-11,2.9625,6.275,377.5857142857143,14.928571428571429,2.975
sptf-1,166.0,238.425,120.57142857142856,156.3,190.225
