"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"flp-25","flp-25",4.24190278053722e-06,5.94647359748372e-05,-26.2603627629467,-42.6294357960133,7,2,4.73763594777943,0,0,0,1,1,2.75363243628611e-12,8.66130544550262e-11,FALSE,TRUE,FALSE
"clec-116","clec-116",0.467337866406123,0.961477314209588,-1.16507774744947,-3.46233613095741,7,2,0.0914849716021698,0,0,0,0.294326463956824,1,0.542186262189972,0.999999999991483,FALSE,FALSE,FALSE
"K04H8.3","K04H8.3",0.443580087878036,0.941477078153688,-10.9896898152828,-13.3786492832499,7,2,1.05824681789871,0,0,0,0.0989640819305921,0.613309191367598,0.984949753243655,0.999999999991483,FALSE,FALSE,FALSE
"K05C4.2","K05C4.2",0.958622993905374,0.999999372691275,-59.1445237299947,-59.6683999187575,7,2,268.808038940781,0,0,0,0.604770274667767,1,0.997744250332339,0.999999999991483,FALSE,FALSE,FALSE
"K05C4.3","K05C4.3",5.99489859384935e-05,0.000668167934955459,-45.1494147980786,-58.5939848335692,7,2,76.2282651786223,0,0,0,0.84439147970308,1,7.31227394986006e-06,9.59081298573213e-05,FALSE,TRUE,FALSE
"K05C4.4","K05C4.4",0.00707175208873969,0.0445588142281346,-4.92859561572579,-12.8893546811149,7,2,0.816591631683823,0,0,0,0.0255756910417922,0.26619680824025,0.0352804960427265,0.151275321947281,FALSE,FALSE,FALSE
"K05C4.5","K05C4.5",0.980534092018572,0.999999372691275,-77.2135428652853,-77.5849710407605,7,2,489.299237115113,0,0,0,0.862565999514566,1,0.930334993583055,0.999999999991483,FALSE,FALSE,FALSE
"K05C4.7","K05C4.7",0.996388227229635,0.999999372691275,-67.5420220600284,-67.7214346572071,7,2,157.769988008298,0,0,0,0.964294479645601,1,0.962619644197683,0.999999999991483,FALSE,FALSE,FALSE
"K05C4.8","K05C4.8",0.854758621583872,0.999999372691275,-29.9559795163865,-30.9355889867929,7,2,5.89564950478301,0,0,0,0.494855248396817,1,0.907273656354279,0.999999999991483,FALSE,FALSE,FALSE
"K05C4.9","K05C4.9",0.540765673632151,0.999999372691275,-47.7102902300353,-49.74044601977,7,2,53.2319286332894,0,0,0,0.900247032929859,1,0.278107692309668,0.685315469934903,FALSE,FALSE,FALSE
"sol-2","sol-2",1.17772991435737e-15,5.97832234070459e-14,-35.3907301919301,-75.0388904437749,7,2,27.2802496849291,0,0,0,5.34526757461328e-07,4.39374920465513e-05,6.52581453164076e-11,1.79484712603131e-09,TRUE,FALSE,FALSE
"cyp-33D1","cyp-33D1",0.741164934059101,0.999999372691275,-1.83953336077388,-3.20571306727674,7,2,0.086259114710981,0,0,0,0.419495512528845,1,0.802472814604073,0.999999999991483,FALSE,FALSE,FALSE
"K06A4.2","K06A4.2",0.886988726344277,0.999999372691275,-11.6013871870153,-12.4589499150965,7,2,0.773271506098517,0,0,0,1,1,0.219590447891339,0.589828260238395,FALSE,FALSE,FALSE
"gsnl-1","gsnl-1",0.555109079750671,0.999999372691275,-86.6505808347782,-88.6308579408213,7,2,3531.69938346129,0,0,0,1,1,0.172101941450471,0.495580968742826,FALSE,FALSE,FALSE
"swt-5","swt-5",0.151849303540953,0.495556930820431,-26.5306045800349,-30.5709035104673,7,2,7.96154738800257,0,0,0,1,1,0.0291320061659828,0.130359645284031,FALSE,FALSE,FALSE
"haao-1","haao-1",0.152424514845307,0.495671626872045,-10.6346801764457,-14.6696360057811,7,2,1.41521225214191,0,0,0,0.0353679411348319,0.332601334976073,0.708816686352812,0.999999999991483,FALSE,FALSE,FALSE
"K06A4.6","K06A4.6",0.0606611376964756,0.250827547509526,-1.48555777206313,-6.76933689274245,7,2,0.18523458636037,0,0,0,0.044782714847979,0.387694834191304,0.225529085261981,0.598665922290841,FALSE,FALSE,FALSE
"K06A4.7","K06A4.7",0.307754106385416,0.771625417171197,-12.2247662661559,-15.2168931803957,7,2,1.32754487942686,0,0,0,0.878669725163902,1,0.125753008382535,0.394806591204457,FALSE,FALSE,FALSE
"K06B4.4","K06B4.4",0.365833052045819,0.856041004389587,-12.7299349019892,-15.4442601678421,7,2,1.27726212986591,0,0,0,1,1,0.0633722192785523,0.238069565386345,FALSE,FALSE,FALSE
"nhr-196","nhr-196",0.276411851113496,0.72307846985446,-2.46085505253731,-5.62031361152443,7,2,0.223441811972905,0,0,0,0.200503380475929,0.885163993086747,0.375707617968477,0.828919711200137,FALSE,FALSE,FALSE
"nhr-197","nhr-197",0.00085021801279278,0.00706496495753771,-12.4382393783619,-22.8826069587187,7,2,1.89761524791266,0,0,0,1,1,5.53677760928697e-05,0.000610522573731361,FALSE,TRUE,FALSE
"nhr-199","nhr-199",0.032224670170323,0.153910301536502,-6.33686017096056,-12.4338372618235,7,2,0.813078042232512,0,0,0,0.213604441885857,0.907984387772934,0.0279054376964816,0.126063425312068,FALSE,FALSE,FALSE
"K06G5.1","K06G5.1",9.89733637414602e-05,0.00104210163991827,-32.023268471696,-44.9072508741608,7,2,16.6757950510881,0,0,0,1,1,3.99284321357587e-07,6.68570170958358e-06,FALSE,TRUE,FALSE
"cyp-13B2","cyp-13B2",0.61772541023768,0.999999372691275,-22.3131123983043,-24.0818482942742,7,2,3.55489160065236,0,0,0,0.225305912239568,0.923256438797655,0.906228883259213,0.999999999991483,FALSE,FALSE,FALSE
"K06G5.3","K06G5.3",0.34835611109766,0.83039509956333,-6.6867412636699,-9.48091206946587,7,2,0.625339825384206,0,0,0,0.874033637675821,1,0.149869821757491,0.449920463034991,FALSE,FALSE,FALSE
"K07A1.1","K07A1.1",0.539222104812791,0.999999372691275,-53.9134179144817,-55.9489795154783,7,2,78.9415716196629,0,0,0,0.468564322572955,1,0.465440510282889,0.948657061128954,FALSE,FALSE,FALSE
