"","x"
"244","ABalpaappp"
"245","MSxpaaap"
"246","ABalppppap/ABpraaapap"
"247","MSpaaapp"
"248","unannotated"
"249","ABalpapaap/ABarappaap"
"250","unannotated"
"251","ABarpappap/ABplaaapap"
"252","MSxapppa"
"253","unannotated"
"254","MSxappp"
"255","Dxapx"
"256","Dxpp"
"257","Dxapa"
"258","MSxpappa"
"259","MSxppapp"
"260","unannotated"
"261","ABarppxpa"
"262","unannotated"
"263","ABalppappp/ABarappppp"
"264","Z2/Z3:pseudotime_bin_2"
"265","ABpxpaappa"
"266","unannotated"
"267","ABarpapaap/ABplaaaaap"
"268","Dxap"
"269","unannotated"
"270","MSxappp"
"271","MSxapapaa"
"272","Cpapax"
"273","Dxxa"
"274","unannotated"
"275","ABpxppapap"
"276","unannotated"
"277","MSaaapp"
"278","MSaaaaa"
"279","MSxpppp"
"280","ABalpaaapa/ABarapaapa"
"281","unannotated"
"282","MSxpppap"
"283","Dxp"
"284","unannotated"
"285","ABalpapppp/ABarapappp"
"286","ABaraapxa"
"287","Cxppapx"
"288","ABpxapaapa"
"289","ABpxpapaap"
"290","ABalaapaa"
"291","ABalpapapa/ABarappapa"
"292","ABpxaapaaa"
"293","ABpxpaaaap"
"294","MSxpapa"
"295","ABpxaapaaa"
"296","ABaraaaapa"
"297","Z2/Z3:pseudotime_bin_2"
"298","MSaaaaaa"
"299","MSaaaapa"
"300","MSxpapap"
"301","unannotated"
"302","ABaraapxap"
"303","MSaaaappp/MSxapaapp"
"304","ABpxapppa"
"305","Dxpppx"
"306","ABarpapaap/ABplaaaaap"
"307","ABpxpaappp"
"308","ABarpapppx/ABplaaappx"
"309","Dxxa"
"310","Z2/Z3:pseudotime_bin_2"
"311","ABarpapaap/ABplaaaaap"
"312","unannotated"
"313","MSxppaaa"
"314","MSxapaa"
"315","ABpxppaap"
"316","unannotated"
"317","unannotated"
"318","ABpxppappp"
"319","ABarpapaa/ABplaaaaa"
"320","unannotated"
"321","ABpxapppa"
"322","unannotated"
"323","Cxpapax"
"324","unannotated"
"325","ABarpapaap/ABplaaaaap"
"326","unannotated"
"327","ABpxappapa"
"328","unannotated"
"329","MSxppppa"
"330","unannotated"
"331","unannotated"
"332","Cxpaapx"
"333","unannotated"
"334","ABalaaapar/ABalaaappl"
"335","ABpxpapaa"
"336","ABalpppapa/ABpraaaapa"
"337","MSaaaaapa"
"338","ABpxappppa"
"339","ABarpaaaap/ABarpaaapa"
"340","ABalpppapp/ABpraaaapp"
"341","ABpxaapppp"
"342","ABpxapapaa"
"343","ABpxapappa"
"344","MSxapppa"
"345","MSxpppp"
"346","ABpxpaaaapa"
"347","ABpxaapaaa"
"348","unannotated"
"349","ABaraapxpa"
"350","ABpxapappa"
"351","unannotated"
"352","ABalpppapav/ABpraaaapav"
"353","ABpxappapp"
"354","unannotated"
"355","unannotated"
"356","ABaraapxpa"
"357","ABalpaaapa/ABarapaapa"
"358","Cxppaa"
"359","MSaaaap"
"360","unannotated"
"361","unannotated"
"362","ABalaappap/ABalppaaap"
"363","ABpxppaapp"
"364","ABalpaaaap/ABarapaaap"
"365","ABalpapaap/ABarappaap"
"366","unannotated"
"367","ABalppapaa/ABarapppaa"
"368","unannotated"
"369","Dxxa"
"370","Cxaaax/Cxaapa"
"371","MSapaap"
"372","MSxpppp"
"373","ABpxpapap"
"374","ABpxpaaap"
"375","Z2/Z3:pseudotime_bin_2"
"376","ABpxaappaa"
"377","ABalappaap"
"378","ABpxppappa"
"379","Cxappd"
"380","ABaraapxapp/ABarapapppa"
"381","ABarppxpp"
"382","MSaaaaap"
"383","MSxppppx"
"384","ABpxpaaaap"
"385","MSpaaapa"
"386","ABalppppp/ABpraaapp"
"387","unannotated"
"388","ABalpaaapp/ABarapaapp"
"389","ABarppxpax"
"390","ABalaaaalp/ABalaapaap"
"391","ABpxpppaaa"
"392","unannotated"
"393","Cxppppx"
"394","ABpxpapaap"
"395","ABpxapppa"
"396","ABarpaapxx"
"397","Cxaaax/Cxaapa"
"398","ABpxappaaa"
"399","ABalpappaa/ABarapapaa"
"400","MSxappppx"
"401","ABpxpppaaa"
"402","ABarpaaaaa"
"403","MSpaapaa"
"404","ABalapxpapa/ABpxpaaappa"
"405","ABalpppapp/ABpraaaapp"
"406","Cxppapx"
"407","ABpxppaaa"
"408","ABarppxpp"
"409","MSxapapa"
"410","ABpxapapa"
"411","MSxappp"
"412","MSaaaaaa"
"413","unannotated"
"414","ABpxapappa"
"415","ABalppppp/ABpraaapp"
"416","unannotated"
"417","ABalpaapp/ABaraaapp"
"418","ABarpappp/ABplaaapp"
"419","ABalppappp/ABarappppp"
"420","Cxpapa"
"421","unannotated"
"422","Dxpp"
"423","Cxaaax/Cxaapa"
"424","Cxpaapx"
"425","unannotated"
"426","MSxpapap"
"427","unannotated"
"428","ABalpppapa/ABpraaaapa"
"429","ABalapaaap/ABalappapp"
"430","unannotated"
"431","ABalpappa/ABarapapa"
"432","ABalapaaap/ABalappapp"
"433","Cxpap"
"434","ABarppxapa"
"435","ABaraaaapa"
"436","ABarpapaa/ABplaaaaa"
"437","unannotated"
"438","ABalppapaa/ABarapppaa"
"439","ABpxaapapa"
"440","unannotated"
"441","ABpxpppppp"
"442","MSxpapp"
"443","unannotated"
"444","ABaraapaaa"
"445","ABpxapaaapa"
"446","ABpxaapapa"
"447","ABpxppaaaap"
"448","ABpxppapa"
"449","ABpxpaappp"
"450","ABpxapppaa"
