"","x"
"25076","MSxpppaa"
"25077","unannotated"
"25078","MSxppppp"
"25079","unannotated"
"25080","ABarpapppx/ABplaaappx"
"25081","unannotated"
"25082","unannotated"
"25083","ABalpapaap/ABarappaap"
"25084","MSxpppa"
"25085","Cxaapp"
"25086","unannotated"
"25087","Cxpaa"
"25088","unannotated"
"25089","MSxapaap"
"25090","ABpxppppaa"
"25091","ABpxapaaap"
"25092","MSaaaappp/MSxapaapp"
"25093","Cxpppax"
"25094","unannotated"
"25095","ABarpaaaa"
"25096","ABpxpapapa"
"25097","unannotated"
"25098","ABarpappa/ABplaaapa"
"25099","Dxxax"
"25100","ABalpppppppa/ABpraaappppa"
"25101","MSxppaap"
"25102","unannotated"
"25103","ABalaaaarxp/ABalapppaap/ABplpappaaa"
"25104","ABalppppppaa/ABpraaapppaa"
"25105","ABpxapaaa"
"25106","Z2/Z3:pseudotime_bin_2"
"25107","MSxapapa"
"25108","Cxaaax/Cxaapa"
"25109","Cxaaax/Cxaapa"
"25110","MSxpppp"
"25111","ABalpaapa/ABaraaapa"
"25112","unannotated"
"25113","unannotated"
"25114","unannotated"
"25115","ABaraapxpa"
"25116","MSaaaaap"
"25117","ABalapxppaa/ABalaappppa/ABalapaappa/ABalppapppa/ABarapppppa"
"25118","ABpxaapappp"
"25119","MSpappa"
"25120","ABpxappapp"
"25121","ABalpppppppa/ABpraaappppa"
"25122","ABalaapaa"
"25123","unannotated"
"25124","ABalapaaap/ABalappapp"
"25125","unannotated"
"25126","ABpxaapaa"
"25127","MSxpapap"
"25128","unannotated"
"25129","unannotated"
"25130","unannotated"
"25131","ABpxpppaaa"
"25132","unannotated"
"25133","ABalpaapaa/ABaraaapaa"
"25134","ABpxaapapap"
"25135","MSxpppa"
"25136","MSxapaap"
"25137","MSxapppa"
"25138","MSxpapp"
"25139","ABalapxppap/ABalaappppp/ABalapaappp/ABalppapppp/ABarapppppp"
"25140","MSppaap"
"25141","Dxpap"
"25142","Dxpppx"
"25143","ABalpappaa/ABarapapaa"
"25144","Cxpapp"
"25145","unannotated"
"25146","MSxpaaa"
"25147","ABprpappaaa"
"25148","MSxpppp"
"25149","ABpxaapaaa"
"25150","unannotated"
"25151","ABalpppapa/ABpraaaapa"
"25152","ABalaappap/ABalppaaap"
"25153","Dxaap"
"25154","unannotated"
"25155","ABarppxapa"
"25156","unannotated"
"25157","ABalppppaa/ABpraaapaa"
"25158","MSxpapaa"
"25159","ABalppppppaa/ABpraaapppaa"
"25160","unannotated"
"25161","ABarpaaap"
"25162","Dxpap"
"25163","Dxxa"
"25164","ABalpapaapa/ABarappaapa"
"25165","unannotated"
"25166","ABalpppaaa/ABpraaaaaa"
"25167","unannotated"
"25168","MSxapaa"
"25169","MSxpppap"
"25170","ABpxpaaapp"
"25171","ABalppappa/ABarappppa"
"25172","MSppaap"
"25173","MSxappp"
"25174","MSpaaaap"
"25175","ABalapxpap/ABpxpaaapp"
"25176","unannotated"
"25177","ABalaappap/ABalppaaap"
"25178","ABaraaaap"
"25179","ABalaappap/ABalppaaap"
"25180","unannotated"
"25181","ABpxapappa"
"25182","ABalppppppa/ABpraaapppa"
"25183","unannotated"
"25184","ABpxapaapp"
"25185","ABpxpaaaap"
"25186","ABpxpaapapa"
"25187","unannotated"
"25188","ABalppppapa/ABpraaapapa"
"25189","unannotated"
"25190","ABpxppappp"
"25191","ABalpppap/ABpraaaap"
"25192","ABpxapppaa"
"25193","ABpxpppaapa"
"25194","ABalppppapa/ABpraaapapa"
"25195","Caapa"
"25196","unannotated"
"25197","ABalppppppa/ABpraaapppa"
"25198","unannotated"
"25199","ABpxpppapa"
"25200","ABalppappa/ABarappppa"
"25201","ABalpppppppa/ABpraaappppa"
"25202","MSppaap"
"25203","unannotated"
"25204","ABarpapppx/ABplaaappx"
"25205","Dxaap"
"25206","ABalpapp/ABarapap"
"25207","ABalpapapa/ABarappapa"
"25208","unannotated"
"25209","ABpxaapaa"
"25210","ABpxpapaapa/ABpxpapappa"
"25211","ABpxaapapaa"
"25212","unannotated"
"25213","ABalppappap/ABarappppap"
"25214","unannotated"
"25215","unannotated"
"25216","ABpxaapappp"
"25217","unannotated"
"25218","unannotated"
"25219","ABpxaappaa"
"25220","MSxppaap"
"25221","unannotated"
"25222","MSxpappa"
"25223","unannotated"
"25224","ABpxpppppa"
"25225","ABalpaaapa/ABarapaapa"
"25226","unannotated"
"25227","ABpxaapaapp"
"25228","unannotated"
"25229","unannotated"
"25230","ABalpaappp"
"25231","ABalppppppaa/ABpraaapppaa"
"25232","unannotated"
"25233","ABalapxppa"
"25234","ABalppapap/ABarapppap"
"25235","Cxpap"
"25236","Cxaaax/Cxaapa"
"25237","MSxappp"
"25238","ABpxpppapa"
"25239","ABalapxpapa/ABpxpaaappa"
"25240","ABalppppaa/ABpraaapaa"
"25241","unannotated"
"25242","unannotated"
"25243","MSapaap"
"25244","ABaraaappp"
"25245","MSxpppp"
"25246","unannotated"
"25247","unannotated"
"25248","unannotated"
"25249","ABalpaaapp/ABarapaapp"
"25250","ABprpappaa"
"25251","unannotated"
"25252","ABpxapappp"
"25253","MSxapaaa"
"25254","ABalpppaaa/ABpraaaaaa"
"25255","unannotated"
"25256","MSxpapp"
"25257","unannotated"
"25258","unannotated"
"25259","Cxpppax"
"25260","unannotated"
"25261","unannotated"
"25262","unannotated"
"25263","ABarpapaap/ABplaaaaap"
"25264","ABalppppp/ABpraaapp"
"25265","unannotated"
"25266","ABpxpapapa"
"25267","ABpxpapaaa"
"25268","unannotated"
"25269","Z2/Z3:pseudotime_bin_2"
"25270","ABalaaaalp/ABalaapaap"
"25271","ABprpappap"
"25272","ABpxapappp"
"25273","unannotated"
"25274","MSapaapp"
"25275","ABalappap"
"25276","ABaraapxpa"
"25277","ABarppxapa"
"25278","unannotated"
"25279","Epxpp"
"25280","Epxpa"
"25281","ABpxpppppa"
"25282","unannotated"
"25283","ABpxppapa"
"25284","ABpxapaaapa"
"25285","MSaaaap"
"25286","unannotated"
"25287","unannotated"
"25288","ABpxpppaaa"
"25289","ABpxppaaaap"
"25290","Cxppap"
"25291","ABalppapap/ABarapppap"
"25292","MSxpapa"
"25293","ABpxapaapa"
"25294","MSxppppp"
"25295","unannotated"
"25296","unannotated"
"25297","ABpxaapaap"
"25298","ABaraapxap"
"25299","MSxppap"
"25300","unannotated"
"25301","Caapa"
"25302","ABaraaaaax"
"25303","ABalppapaa/ABarapppaa"
"25304","ABpxaappaa"
"25305","MSxapap"
"25306","unannotated"
"25307","ABpxapaapa"
"25308","Dxapp"
"25309","ABpxppappp"
"25310","Cxppaa"
"25311","unannotated"
"25312","Dxapp"
"25313","MSpppaaa"
"25314","unannotated"
"25315","unannotated"
"25316","MSpaaappp/MSxapappa"
"25317","ABarpapaapp/ABplaaaaapp"
"25318","unannotated"
"25319","unannotated"
"25320","ABalpppaaa/ABpraaaaaa"
"25321","ABalppppppp/ABpraaapppp"
"25322","ABpxaapaaa"
"25323","unannotated"
"25324","ABpxapaaaa"
"25325","unannotated"
"25326","ABarppxppa"
"25327","ABpxaapaapp"
"25328","unannotated"
"25329","unannotated"
"25330","ABpxapappp"
"25331","unannotated"
"25332","unannotated"
"25333","unannotated"
"25334","unannotated"
"25335","unannotated"
"25336","Cpappv"
"25337","MSxpapaa"
"25338","unannotated"
"25339","unannotated"
"25340","unannotated"
"25341","ABalppppapa/ABpraaapapa"
"25342","ABarpaapxx"
"25343","Cxpppa"
"25344","unannotated"
"25345","unannotated"
"25346","ABpxapaapp"
"25347","unannotated"
"25348","unannotated"
"25349","ABpxppappp"
"25350","unannotated"
"25351","unannotated"
"25352","ABalppappa/ABarappppa"
"25353","ABalpppppa/ABpraaappa"
"25354","ABalaaapal/ABalaaappr"
"25355","unannotated"
"25356","Cxpappx"
"25357","ABarpapppx/ABplaaappx"
"25358","ABarppxpax"
"25359","ABprpappa"
"25360","ABarpaaaaa"
"25361","Cxaaax/Cxaapa"
"25362","ABpxppaaaa"
"25363","ABalppapap/ABarapppap"
"25364","unannotated"
"25365","unannotated"
"25366","Cxappd"
"25367","unannotated"
"25368","ABpxapaaa"
"25369","ABalapaaapa/ABalappappa"
"25370","unannotated"
"25371","ABalppppapa/ABpraaapapa"
"25372","ABalppppaad/ABpraaapaad"
"25373","unannotated"
"25374","ABpxpaappa"
"25375","Z2/Z3:pseudotime_bin_2"
"25376","Z2/Z3:pseudotime_bin_2"
"25377","ABpxaapapa"
"25378","ABpxapaaap"
"25379","ABalapxpapa/ABpxpaaappa"
"25380","ABalpapapp/ABarappapp"
"25381","ABpxapaapp"
"25382","unannotated"
"25383","Dxxaa"
"25384","MSxpaaap"
"25385","unannotated"
"25386","MSxpaaaa"
"25387","ABalpppppa/ABpraaappa"
"25388","ABalppppap/ABpraaapap"
"25389","ABpxaapappp"
"25390","unannotated"
"25391","ABpxpaappaa"
"25392","ABaraapxp"
"25393","ABpxaapapppa"
"25394","unannotated"
"25395","ABpxppaaaap"
"25396","ABalappaap"
"25397","MSxpapaa"
"25398","ABalppppaa/ABpraaapaa"
"25399","ABpxaapappp"
"25400","unannotated"
"25401","MSxaapapa/ABalpappapp"
"25402","ABpxpapapp"
"25403","unannotated"
"25404","unannotated"
"25405","MSxppaap"
"25406","unannotated"
"25407","MSxapppp"
"25408","Dxppa"
"25409","unannotated"
"25410","unannotated"
"25411","ABalpaappa/ABaraaappa"
"25412","MSxpaaaa"
"25413","unannotated"
"25414","Cxppap"
"25415","unannotated"
"25416","ABalpaapppx/ABalpapaaap/ABaraaapppp"
"25417","ABpxpaapapa"
"25418","ABpxapaapp"
"25419","unannotated"
"25420","MSxpapap"
"25421","ABarpapaappp/ABplaaaaappp"
"25422","MSxapppa"
"25423","unannotated"
"25424","Cpapax"
"25425","unannotated"
"25426","MSxapaap"
"25427","unannotated"
"25428","ABpxpapapa"
"25429","ABpxapapap"
"25430","ABalppapa/ABarapppa"
"25431","unannotated"
"25432","unannotated"
"25433","unannotated"
"25434","Cxppaax"
"25435","MSxppaap"
"25436","unannotated"
"25437","unannotated"
"25438","Dxxax"
"25439","ABpxpapaapa/ABpxpapappa"
"25440","unannotated"
"25441","unannotated"
"25442","Cxpaapx"
"25443","ABpxpppaaa"
"25444","unannotated"
"25445","Cpapax"
"25446","ABalaapapp/ABalppaapp"
"25447","ABpxaapaap"
"25448","unannotated"
"25449","MSxaapapa/ABalpappapp"
"25450","ABarppxapa"
"25451","ABalaaaalp/ABalaapaap"
"25452","ABalaappapa/ABalppaaapa"
"25453","ABpxppaapp"
"25454","unannotated"
"25455","MSxpaaaa"
"25456","MSxpppap"
"25457","ABpxppapaa"
"25458","unannotated"
"25459","ABarapapap"
"25460","unannotated"
"25461","ABarppxap"
"25462","ABpxapppapp"
"25463","unannotated"
"25464","MSaaaaaa"
"25465","ABalappaap"
"25466","unannotated"
"25467","ABalpappaa/ABarapapaa"
"25468","MSxpapp"
"25469","Cxppp"
"25470","unannotated"
"25471","unannotated"
"25472","ABarpapppx/ABplaaappx"
"25473","unannotated"
"25474","ABalpppppp/ABpraaappp"
"25475","Cxppaax"
"25476","unannotated"
"25477","ABpxaapap"
"25478","ABpxapppaa"
"25479","ABalppppaad/ABpraaapaad"
"25480","ABprpappaa"
"25481","ABalapxppap/ABalaappppp/ABalapaappp/ABalppapppp/ABarapppppp"
"25482","ABpxaapaap"
"25483","unannotated"
"25484","Cxpap"
"25485","Dxapa"
"25486","ABpxaapppp"
"25487","unannotated"
"25488","ABalapaaap/ABalappapp"
"25489","unannotated"
"25490","ABarpapaapp/ABplaaaaapp"
"25491","unannotated"
"25492","MSappaaa"
"25493","ABpxppaaa"
"25494","Cxppppx"
"25495","ABaraapxpa"
"25496","unannotated"
"25497","ABpxppapaa"
"25498","unannotated"
"25499","ABpxaappaa"
"25500","ABalaaaarx"
"25501","unannotated"
"25502","unannotated"
"25503","MSxapppa"
"25504","MSxpppa"
"25505","unannotated"
"25506","Dxaap"
"25507","ABpxpppaaa"
"25508","ABpxppappp"
"25509","ABaraappaa"
"25510","Cpapax"
"25511","MSpappax"
"25512","MSxppaa"
"25513","ABpxapappp"
"25514","ABpxppaaaap"
"25515","unannotated"
"25516","Cxpapp"
"25517","ABalppppppp/ABpraaapppp"
"25518","unannotated"
"25519","ABpxapaapa"
"25520","unannotated"
"25521","ABpxapppaa"
"25522","Cxpppax"
"25523","Cxppaax"
"25524","Dxppax"
"25525","unannotated"
"25526","ABpxpppapa"
"25527","MSxpapaa"
"25528","unannotated"
"25529","ABpxpaaaapa"
"25530","unannotated"
"25531","unannotated"
"25532","unannotated"
"25533","unannotated"
"25534","Cxpapp"
"25535","MSpppaaa"
"25536","Cxapp"
"25537","ABalpppaaa/ABpraaaaaa"
"25538","unannotated"
"25539","ABalpappaa/ABarapapaa"
"25540","ABpxaapaaa"
"25541","ABalppppppp/ABpraaapppp"
"25542","unannotated"
"25543","unannotated"
"25544","unannotated"
"25545","ABpxapaaapa"
"25546","unannotated"
"25547","MSxpapa"
"25548","MSxaapapa/ABalpappapp"
"25549","ABplppppapx"
"25550","ABpxpaaaaap"
"25551","unannotated"
"25552","Dxpppx"
"25553","ABalpppppaa/ABpraaappaa"
"25554","ABpxaapaapa"
"25555","unannotated"
"25556","ABalpppppppa/ABpraaappppa"
"25557","ABalppppppaa/ABpraaapppaa"
"25558","ABpxpaaapa"
"25559","unannotated"
"25560","Cxpaaax"
"25561","ABpxaapappp"
"25562","unannotated"
"25563","unannotated"
"25564","unannotated"
"25565","ABpxpapaaa"
"25566","Cxpapp"
"25567","Cxpaaa"
"25568","unannotated"
"25569","unannotated"
"25570","Eaxpp/Epxap"
"25571","unannotated"
"25572","ABpxapappp"
"25573","unannotated"
"25574","ABalpaapapa/ABaraaapapa/ABalpappppa"
"25575","ABalapxpp"
"25576","unannotated"
"25577","unannotated"
"25578","unannotated"
"25579","ABpxppaapa"
"25580","unannotated"
"25581","unannotated"
"25582","ABpxaapppp"
"25583","unannotated"
"25584","ABprpappap"
"25585","unannotated"
"25586","unannotated"
"25587","ABpxapppap"
"25588","unannotated"
"25589","ABalpppaap/ABpraaaaap"
"25590","MSppaap"
"25591","Dxpap"
"25592","unannotated"
"25593","unannotated"
"25594","Cxpaaax"
"25595","unannotated"
"25596","unannotated"
"25597","unannotated"
"25598","ABalppppppaa/ABpraaapppaa"
"25599","unannotated"
"25600","unannotated"
"25601","unannotated"
"25602","unannotated"
"25603","ABpxppappa"
"25604","MSxppap"
"25605","ABpxapaaaa"
"25606","ABpxapaaaa"
"25607","unannotated"
"25608","ABalpapppa/ABarapappa"
"25609","ABalppappp/ABarappppp"
"25610","unannotated"
"25611","unannotated"
"25612","unannotated"
"25613","ABpxaappap"
"25614","ABaraaaap"
"25615","MSaaaaaa"
"25616","ABpxapaapp"
"25617","unannotated"
"25618","MSxappppx"
"25619","unannotated"
"25620","unannotated"
"25621","unannotated"
"25622","ABpxappapa"
"25623","Epxpp"
"25624","unannotated"
"25625","unannotated"
"25626","unannotated"
"25627","unannotated"
"25628","Dxxaa"
"25629","ABalaapppp/ABalapaapp"
"25630","Cxppap"
"25631","unannotated"
"25632","MSxpapaa"
"25633","unannotated"
"25634","unannotated"
"25635","unannotated"
"25636","MSxpapaa"
"25637","ABpxppaapa"
"25638","Cxaaax/Cxaapa"
"25639","unannotated"
"25640","ABaraapxpaa"
"25641","ABpxapppa"
"25642","unannotated"
"25643","MSxaapapa/ABalpappapp"
"25644","ABpxppapa"
"25645","ABarppxpax"
"25646","unannotated"
"25647","Cxppaax"
"25648","MSaaaappp/MSxapaapp"
"25649","unannotated"
"25650","ABalapxpppp/ABalaapappp/ABalppaappp"
"25651","unannotated"
"25652","ABpxapppaa"
"25653","unannotated"
"25654","MSxaapapa/ABalpappapp"
"25655","MSxaapap"
"25656","unannotated"
"25657","MSxppap"
"25658","MSxaapapa/ABalpappapp"
"25659","MSxpapaa"
"25660","ABpxpppppa"
"25661","MSxaapapa/ABalpappapp"
"25662","ABpxapaaaap"
"25663","ABaraapxap"
"25664","ABalpppappp/ABpraaaappp"
"25665","Cxpppp"
"25666","ABalppapaa/ABarapppaa"
"25667","ABpxpaappa"
"25668","ABalpapapa/ABarappapa"
"25669","unannotated"
"25670","ABpxapappp"
"25671","ABpxppapaa"
"25672","Cxpappx"
"25673","unannotated"
"25674","Z2/Z3:pseudotime_bin_2"
"25675","ABpxaappap"
"25676","ABalapxpapa/ABpxpaaappa"
"25677","unannotated"
"25678","unannotated"
"25679","ABaraappaa"
"25680","MSpaaaap"
"25681","ABalppppaa/ABpraaapaa"
"25682","ABpxapaapa"
"25683","MSppaap"
"25684","Dxpp"
"25685","unannotated"
"25686","unannotated"
"25687","unannotated"
"25688","ABpxapppaa"
"25689","ABalapxppa/ABalaapppp/ABalapaapp/ABalppappp/ABarappppp"
"25690","MSxpaaap"
"25691","Caappv"
"25692","unannotated"
"25693","Z2/Z3:pseudotime_bin_2"
"25694","ABaraapxpa"
"25695","ABalpapppp/ABarapappp"
"25696","MSxpapaa"
"25697","ABalapaaap/ABalappapp"
"25698","ABalppppaa/ABpraaapaa"
"25699","Dxxaa"
"25700","MSxpppp"
"25701","unannotated"
"25702","ABpxpppapa"
"25703","Dxppax"
"25704","ABalpaaaap/ABarapaaap"
"25705","ABaraapxap"
"25706","MSxpaaaa"
"25707","ABalapxpap/ABpxpaaapp"
"25708","ABalappaa"
"25709","ABpxaapaap"
"25710","unannotated"
"25711","ABalapaaaa/ABalappapa"
"25712","ABalpapapp/ABarappapp"
"25713","Caapa"
"25714","MSxappppx"
"25715","ABarpapaaa/ABplaaaaaa"
"25716","ABalpapap/ABarappap"
"25717","ABpxpaaapa"
"25718","unannotated"
"25719","MSxppaap"
"25720","Cxaaax/Cxaapa"
"25721","ABalppppapa/ABpraaapapa"
"25722","ABpxppppap"
"25723","ABarpapaap/ABplaaaaap"
"25724","MSxppaaa"
"25725","ABplpappaap"
"25726","ABpxaapppp"
"25727","Cxpaaax"
"25728","Cpapax"
"25729","ABpxapaaaap"
"25730","unannotated"
"25731","unannotated"
"25732","ABalapxppap/ABalaappppp/ABalapaappp/ABalppapppp/ABarapppppp"
"25733","unannotated"
"25734","unannotated"
"25735","unannotated"
"25736","ABarppxapa"
"25737","unannotated"
"25738","unannotated"
"25739","MSxpappa"
"25740","Dxxax"
"25741","ABpxappppa"
"25742","unannotated"
"25743","MSaaaappp/MSxapaapp"
"25744","ABalaaaarxp/ABalapppaap/ABplpappaaa"
"25745","MSaappa"
"25746","unannotated"
"25747","ABaraapxapp/ABarapapppa"
"25748","unannotated"
"25749","Epxpa"
"25750","ABpxpaappaa"
"25751","unannotated"
"25752","Cxpapa"
"25753","ABalapaaa/ABalappap"
"25754","unannotated"
"25755","Cxaaax/Cxaapa"
"25756","ABalppappp/ABarappppp"
"25757","unannotated"
"25758","unannotated"
"25759","unannotated"
"25760","Dxpppx"
"25761","unannotated"
"25762","ABalaappapa/ABalppaaapa"
"25763","unannotated"
"25764","MSxpapaa"
"25765","ABalaaaarxp/ABalapppaap/ABplpappaaa"
"25766","unannotated"
"25767","ABpxpaaapp"
"25768","unannotated"
"25769","unannotated"
"25770","ABpxapaapp"
"25771","unannotated"
"25772","MSxpappa"
"25773","ABpxppaaaap"
"25774","ABpxapppapp"
"25775","ABpxappppa"
"25776","unannotated"
"25777","ABpxpaappp"
"25778","ABpxaapapp"
"25779","ABpxpapapa"
"25780","unannotated"
"25781","ABplpappaa"
"25782","unannotated"
"25783","ABpxapapap"
"25784","unannotated"
"25785","MSxappp"
"25786","MSaaaaap"
"25787","ABpxapaaapa"
"25788","unannotated"
"25789","unannotated"
"25790","MSxpapa"
"25791","ABpxaapaaaa"
"25792","Cxppp"
"25793","MSaaaappp/MSxapaapp"
"25794","ABpxaapppp"
"25795","Z2/Z3:pseudotime_bin_2"
"25796","unannotated"
"25797","unannotated"
"25798","Cxpaaax"
"25799","unannotated"
"25800","MSxppppp"
"25801","Z2/Z3:pseudotime_bin_2"
"25802","ABalapxppaa/ABalaappppa/ABalapaappa/ABalppapppa/ABarapppppa"
"25803","unannotated"
"25804","ABalpppppa/ABpraaappa"
"25805","unannotated"
"25806","ABalpppppa/ABpraaappa"
"25807","ABpxpaappaa"
"25808","unannotated"
"25809","ABarppxppa"
"25810","ABpxapaaaa"
"25811","ABpxppappp"
"25812","unannotated"
"25813","MSxppaa"
"25814","ABalpapaapa/ABarappaapa"
"25815","MSapaap"
"25816","ABpxpapaaa"
"25817","unannotated"
"25818","unannotated"
"25819","unannotated"
"25820","unannotated"
"25821","ABalpapapp/ABarappapp"
"25822","unannotated"
"25823","unannotated"
"25824","Cxpappx"
"25825","ABalppappa/ABarappppa"
"25826","MSxpapp"
"25827","ABalapxpapa/ABpxpaaappa"
"25828","ABpxapappp"
"25829","ABalaaaala/ABalaapaaa"
"25830","unannotated"
"25831","unannotated"
"25832","ABpxpaappaa"
"25833","ABalppppppaa/ABpraaapppaa"
"25834","ABpxaapaapa"
"25835","ABalpppppppa/ABpraaappppa"
"25836","unannotated"
"25837","unannotated"
"25838","MSaaapp"
"25839","ABpxppapa"
"25840","ABaraappaa"
"25841","Cxppa"
"25842","unannotated"
"25843","Z2/Z3:pseudotime_bin_3"
"25844","unannotated"
"25845","ABalpppapa/ABpraaaapa"
"25846","Cxaaax/Cxaapa"
"25847","ABpxpppaapa"
"25848","unannotated"
"25849","ABpxappaap"
"25850","ABarapapapp"
"25851","ABalppppppp/ABpraaapppp"
"25852","ABarpapppx/ABplaaappx"
"25853","ABpxaapappp"
"25854","unannotated"
"25855","ABalapxpapa/ABpxpaaappa"
"25856","unannotated"
"25857","ABalppppap/ABpraaapap"
"25858","unannotated"
"25859","unannotated"
"25860","ABpxapppap"
"25861","ABpxppapaa"
"25862","unannotated"
"25863","ABpxpppaa"
"25864","MSpaaaap"
"25865","MSxppaap"
"25866","unannotated"
"25867","unannotated"
"25868","ABalpppap/ABpraaaap"
"25869","ABpxpaappaa"
"25870","MSxappppx"
"25871","unannotated"
"25872","Cpapax"
"25873","unannotated"
"25874","ABalaaaarxp/ABalapppaap/ABplpappaaa"
"25875","Cxpppax"
"25876","Dxa"
"25877","ABpxpppppa"
"25878","Cxpppax"
"25879","ABalpppapa/ABpraaaapa"
"25880","unannotated"
"25881","Cxaaax/Cxaapa"
"25882","ABalpapppp/ABarapappp"
"25883","unannotated"
"25884","ABpxpppapa"
"25885","Cpapax"
"25886","Dxppp"
"25887","ABaraappaa"
"25888","ABpxpppaapa"
"25889","unannotated"
"25890","MSxppaa"
"25891","MSpppaaa"
"25892","MSxpppp"
"25893","ABalappaa"
"25894","MSxaapapa/ABalpappapp"
"25895","unannotated"
"25896","unannotated"
"25897","unannotated"
"25898","ABpxapppapp"
"25899","MSaaaaap"
"25900","ABalpppaa/ABpraaaaa"
"25901","unannotated"
"25902","ABalaaaarxp/ABalapppaap/ABplpappaaa"
"25903","unannotated"
"25904","Dxxax"
"25905","MSapaapp"
"25906","unannotated"
"25907","Dxxaa"
"25908","MSxapppax"
"25909","ABpxppappp"
"25910","ABalaaaala/ABalaapaaa"
"25911","Dxxaa"
"25912","unannotated"
"25913","ABalaappp/ABalapaap"
"25914","ABpxpaaaaap"
"25915","ABalpappaa/ABarapapaa"
"25916","unannotated"
"25917","ABpxapaapp"
"25918","MSaaapaa"
"25919","ABpxppaapp"
"25920","Cxpaap"
"25921","unannotated"
"25922","Dxaap"
"25923","unannotated"
"25924","unannotated"
"25925","unannotated"
"25926","ABarpaaap"
"25927","ABpxaapapppa"
"25928","ABpxappppa"
"25929","MSxpppp"
"25930","MSaaaapp"
"25931","unannotated"
"25932","ABalpppppaa/ABpraaappaa"
"25933","unannotated"
"25934","unannotated"
"25935","unannotated"
"25936","MSxpaaa"
"25937","ABalpppppppa/ABpraaappppa"
"25938","ABpxapapppp"
"25939","unannotated"
"25940","MSxapapaa"
"25941","ABalapppaa"
"25942","unannotated"
"25943","ABpxpppaaa"
"25944","ABalapxppa/ABalaapppp/ABalapaapp/ABalppappp/ABarappppp"
"25945","MSaaaaaa"
"25946","ABalppppaa/ABpraaapaa"
"25947","Dxppa"
"25948","ABalpappap"
"25949","unannotated"
"25950","ABpxppaapap"
"25951","Dxxax"
"25952","unannotated"
"25953","MSaaaap"
"25954","unannotated"
"25955","Cxaaax/Cxaapa"
"25956","ABarppxaap"
"25957","unannotated"
"25958","unannotated"
"25959","unannotated"
"25960","unannotated"
"25961","Dxppax"
"25962","ABalpppppa/ABpraaappa"
"25963","unannotated"
"25964","ABalpppapav/ABpraaaapav"
"25965","unannotated"
"25966","ABpxapaaaa"
"25967","ABalpppapa/ABpraaaapa"
"25968","ABpxppaaaap"
"25969","ABpxpaaaaa"
"25970","unannotated"
"25971","unannotated"
"25972","ABpxapappa"
"25973","unannotated"
"25974","Cpapax"
"25975","Cxppppx"
"25976","unannotated"
"25977","ABalapxpap/ABpxpaaapp"
"25978","unannotated"
"25979","ABarpapapx/ABplaaaapx"
"25980","ABpxpppppa"
"25981","ABpxaapppa"
"25982","unannotated"
"25983","unannotated"
"25984","ABalpaapaa/ABaraaapaa"
"25985","ABpxppaapa"
"25986","unannotated"
"25987","MSxpapa"
"25988","ABpxpapapp"
"25989","ABalppppp/ABpraaapp"
"25990","unannotated"
"25991","unannotated"
"25992","ABalapxpp"
"25993","ABplpapppax"
"25994","ABpxaapap"
"25995","ABpxpapaaa"
"25996","unannotated"
"25997","Cxpapax"
"25998","Cxppaa"
"25999","ABalapxpap/ABpxpaaapp"
"26000","unannotated"
"26001","ABalpppappp/ABpraaaappp"
"26002","MSapaapp"
"26003","Cxpppa"
"26004","ABarppxppp"
"26005","ABpxaapppp"
"26006","unannotated"
"26007","Dxpap"
"26008","ABpxapppapp"
"26009","MSxapapp"
"26010","MSxpaaa"
"26011","unannotated"
"26012","ABpxappapa"
"26013","ABalppppppp/ABpraaapppp"
"26014","ABaraapxapp/ABarapapppa"
"26015","unannotated"
"26016","MSxppppa"
"26017","ABalpppaaa/ABpraaaaaa"
"26018","ABpxaapapp"
"26019","unannotated"
"26020","unannotated"
"26021","ABalaappapa/ABalppaaapa"
"26022","ABpxpaappaa"
"26023","unannotated"
"26024","ABprpappaa"
"26025","ABalpappap"
"26026","ABalpppapav/ABpraaaapav"
"26027","ABarppxapp"
"26028","ABalpppppp/ABpraaappp"
"26029","ABpxaapapa"
"26030","unannotated"
"26031","ABalapxpapa/ABpxpaaappa"
"26032","Cxppaax"
"26033","unannotated"
"26034","ABalpapppa/ABarapappa"
"26035","MSapaapp"
"26036","ABalpaapaa/ABaraaapaa"
"26037","ABalpaapaa/ABaraaapaa"
"26038","unannotated"
"26039","ABpxppapap"
"26040","ABpxppppaa"
"26041","Cxaaax/Cxaapa"
"26042","unannotated"
"26043","ABalpaappa/ABaraaappa"
"26044","ABpxpaapaa"
"26045","ABarppxaap"
"26046","ABaraapxpa"
"26047","ABalpaapapa/ABaraaapapa/ABalpappppa"
"26048","ABpxappapp"
"26049","unannotated"
"26050","ABarpaapx"
"26051","unannotated"
"26052","MSaaaappp/MSxapaapp"
"26053","unannotated"
"26054","unannotated"
"26055","unannotated"
"26056","Cxpapp"
"26057","ABarppxppa"
"26058","ABpxpppaap"
"26059","ABpxppaaaap"
"26060","Dxpp"
"26061","unannotated"
"26062","Cxpaaax"
"26063","Caapa"
"26064","unannotated"
"26065","Cxpaaa"
"26066","unannotated"
"26067","ABalpppaap/ABpraaaaap"
"26068","Dxap"
"26069","ABalppapaa/ABarapppaa"
"26070","MSxpapaa"
"26071","MSxapppax"
"26072","ABpxpapaapa/ABpxpapappa"
"26073","unannotated"
"26074","MSxpapaa"
"26075","Cxppp"
"26076","unannotated"
"26077","ABalaaapar/ABalaaappl"
