,cbp-1,dpy-30,gfl-1,hcf-1,hda-1,hda-2,hda-3,hda-4,hpl-1,hpl-2,isw-1,let-418,lin-49,lin-53,lin-59,mep-1,mes-2,mes-3,mes-4,mes-6,mrg-1,rba-1,rpn-10,rpn-12,set-1,set-2,smo-1,sop-2,uba-2,ubc-9,xnp-1,zfp-1,ssl-1,trr-1,mys-1,epc-1,C17E4.6,hda-11,pyp-1,nurf-1,M03C11.3,jmjd-2,met-2,T07E3.3,ZK1127.3
270_330,-0.0248840832238753,0.0044674790992752,-0.014543385514399,0.0183509597663029,0.0869189867432647,-0.0474455332483734,0.057066156675598,-0.0021174266404751,0.0095878048075918,-0.1640608976606829,-0.0772327000644394,0.0513226059899091,0.005037821013184,-0.1459191415943468,-0.0038086020544819,-0.0092134188881392,-0.0118851328191192,0.0336794107219883,-0.0272892363617402,-0.0031429872306973,-0.0962983185808267,-0.133465486037589,0.0125972785746177,-0.0300925501376703,-0.1740537737573256,-0.056319321803706,-0.1830170210315972,-0.0187505572921931,-0.0040519491641776,0.0362082900567683,-0.0457573131846929,0.0325846596596553,-0.0012038607028258,-0.0244713090240822,0.0036087011616918,0.13248556820259,-0.0246744133625198,-0.0318815740198824,0.026554621996792,-0.8919832554214528,-0.0179662265983868,-0.0274332491303413,-0.0131223443846256,0.0063468252581256,-0.0965727603877348
330_390,0.0952302028954282,0.0852626642229027,0.0383631017333779,0.035281020833918,0.071791855890277,0.0012703537197183,0.0151525679710761,0.009667825171314,-0.0117184490029815,0.2852578878941191,0.0408211540195367,-0.0926898245859199,0.0233759028650217,0.1486940976479818,0.1067414382871279,-0.0171014016935704,0.004723072371808,-0.0159940755284746,0.0539472877508832,0.0145819437706674,0.060708684322957,0.1256140267015302,-0.0919062744482157,0.0081531418942427,0.1733635730520455,0.0529215398210827,0.0210536199859101,-0.0379168423198922,-0.0011246477547367,0.0194302399501716,-0.0171314688081285,0.0392257459585007,0.0150608442689236,0.1135674866422054,-0.0378139951550171,0.0620716500800921,0.0307639262408612,0.0010117805204503,-0.1386737691783341,0.8435095981991578,0.0025002777261553,0.0182958205015648,0.0825877201847391,0.0022957684817736,0.1541746742321358
390_450,0.0111580534275736,0.0251934276728642,-0.0079757486112345,0.024650115344362,0.0293242686943119,-0.0012894604563592,-0.0051918841125289,-0.0014717585675485,-0.0020339542926991,0.0037862047176737,-0.0059213128474886,0.0196336137353807,0.0162092005170095,0.0036278460005927,-0.0096339617644568,-0.0194370235704119,-0.0021850176112881,-0.0016338840056759,-0.0034313566460357,-8.525651776571156e-05,0.0078055141001407,0.0011563120599478,-0.0102339100633911,-0.0091889711846325,0.0172085351559237,0.0091754408425353,-0.0010291977276273,-0.0024031729388132,0.0024314011294361,-0.0194711831474236,0.0152376730985612,0.0136767878851351,-0.0023550680770394,-0.0145709492305705,-0.0091055258942172,0.0729656594033899,0.0312520726243228,-0.004351437227074,-0.0418843751476776,0.99235845532528,0.0014624093289416,-0.0192930257796831,0.0001250957016651,-0.0021842987434071,0.0387568977492007
450_510,0.0414558894634584,-0.0822598976449521,-0.0256941849135128,-0.0264601807980568,-0.0267494710024049,0.0203810996942593,-0.0385715426107352,0.0112668124000351,0.0025389688411887,-0.0034714467274272,-0.0391234397723261,-0.0851570922664891,0.0605735834815537,0.0949584676494099,0.0112561444836026,0.0014846602044342,-0.0035953367266213,-0.017719688720938,0.0169966402897785,-0.0052653814621232,-0.1758674261304035,-0.0340633467296572,-0.1314912144240634,-0.0035204973822831,0.0069311156402515,0.0251650079275823,0.1360280388128387,0.0561552829709719,-0.0064774223165073,-0.0267356120119652,-0.0545796849261091,-0.0114920603820953,0.0148713256281362,0.0248652140720813,0.0815310349612855,0.2391914305545595,0.0077428813805562,-0.0478854707841713,-0.3004958803158538,0.8517567544461997,-0.0229824911373035,-0.0306828180941311,0.0714766495157927,-0.0017381642335657,-0.0113977857614603
510_580,0.1143055249137277,0.0211301603095961,-0.0618314221781202,0.0211121961440215,0.0117212426414671,0.0149215854714129,-0.097898715034591,-0.0613639852679304,-0.0301439067234113,0.1449798733339229,0.0009094641464438,-0.0805638040857049,0.0235183745113501,-0.0428734413830362,0.0237743443467207,0.0250577538715504,0.009067186494222,0.0210642938285666,0.0082236184810928,0.0019126956089389,-0.0246991073065567,0.0332783060091573,0.0738383211021759,-0.0268726819647094,-0.1160425977440162,-0.022139213296663,-0.0253952636009594,0.0445369570092357,0.0007669521068418,0.0193155662839582,-0.0321031300154524,-0.0847267113903477,0.0242338598730504,0.0605943708352158,0.0152848335794927,-0.0167018121381168,0.0456853796819924,0.0239653017993635,-0.1059639240381982,0.9330224257971614,-0.0737965408048608,-0.0267869145488709,0.0320226424543728,-0.0,0.0804249614289468
580_650,-0.0653253492110311,-0.0201788087364487,-0.0217553103046251,-0.0155604161742281,-0.0487610955060615,-0.0570765712594521,-0.2041467799847058,-0.0055996731309491,0.0515119989233333,-0.3265911974620317,-0.0329584463248861,-0.3299095638260065,-0.0556008969218443,-0.1186287932315201,-0.1178225563865,-0.22467728858358,-0.0103255513562455,-0.0093438511227481,-0.0670872168349659,0.0,-0.2495720705072942,0.0101250037824382,0.0413089769924818,0.0196070336888184,-0.1120131410196666,-0.1516869949889466,-0.2537870619191478,-0.0038526374118342,-0.027303747466679,-0.0217636936043923,-0.1218132076142387,-0.272794640171029,0.0310245749533289,0.054860441033626,0.0528220463861125,-0.2176644823248356,-0.1477676626048082,0.0908161010319,-0.2576080909848965,0.4712852098101007,-0.0638169911003932,-0.0937211327201586,0.008179691763897,-0.0043466463078041,-0.035143475798834
gt_650,-0.0502650844458048,-0.1974567605693448,0.0463451970110038,-0.0040772734483294,-0.0087781590526889,-0.0421781019304815,-0.174300188816987,-0.0198007491214034,-0.0580410536000009,-0.1092592421430052,-0.0079811263506701,0.2118482243243824,0.0150766799149193,0.0516661892722285,-0.048060352417946,-0.1132880954144118,-0.0060492482262513,0.0060499341971739,-0.019249299251425,0.0006499929302748,-0.0794230095537624,-0.0406642582558367,-0.0609215439066392,-0.0472244842999368,0.0866757790046984,-0.0746490481428473,-0.1017896867613777,-0.0325359509764302,0.0,0.0012577050156697,-0.0076074078570269,0.4047217786305773,0.0987727034372594,-0.0221680466573891,-0.0365027223961221,0.1128121154255888,0.042986397730517,-0.0233009667055351,-0.1924240311308583,0.7518442214627853,-0.0004694304591479,-0.1017807191318273,0.0425322439796852,0.0,-0.0390734570720344
