gene_short_name,gene_id,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
set-18,WBGene00044070,BWM_far_posterior,0.267163623611659,4.71833871344796,1.0,0.267163623611659,0.0407365215417096,0.0052591454881949,1.0
unc-22,WBGene00006759,BWM_head_row_2,0.0831034038143148,0.493440834131693,0.311111111111111,0.267118083688869,0.0005188315064769,0.665797057911526,1.0
tnt-3,WBGene00006588,BWM_far_posterior,0.14832068486549,1.45072073814729,0.555555555555556,0.266977232757882,0.0002935519599592,0.813278278319917,1.0
act-1,WBGene00000063,BWM_anterior,0.26670901924029,14.5240470103168,1.0,0.26670901924029,0.0416469009770879,6.58379156911463e-05,0.336431749181758
unc-93,WBGene00006822,BWM_anterior,0.115044144666055,0.494850291587034,0.431372549019608,0.266693244453127,0.0123427367730014,0.0305212535219737,1.0
rsbp-1,WBGene00011531,BWM_head_row_1,0.0970341790344928,0.392356018730865,0.365,0.265847065847926,0.0123053534515506,0.0169370691253172,1.0
uig-1,WBGene00009337,BWM_head_row_1,0.062439538082813,0.265743375234879,0.235,0.265700162054524,0.0050222689265249,0.127594769219684,1.0
bre-1,WBGene00000266,BWM_head_row_2,0.0530668895258055,0.247209703703824,0.2,0.265334447629028,0.0019498298968408,0.402319158818678,1.0
slo-1,WBGene00004830,BWM_head_row_1,0.072729336730503,0.314227880708685,0.275,0.264470315383647,0.0128080544658162,0.0148268727561932,1.0
npr-5,WBGene00021983,BWM_head_row_2,0.105704489870448,0.494915065964263,0.4,0.26426122467612,0.0167974580504457,0.0137712442236768,1.0
pat-2,WBGene00003929,BWM_head_row_1,0.159625036484354,1.13381051363152,0.605,0.263843035511328,0.0154958574868313,0.0073323003028439,1.0
sup-10,WBGene00006319,BWM_anterior,0.193399262780111,1.29579110812114,0.735294117647059,0.263022997380951,0.0080760689382308,0.0803308091707661,1.0
pxl-1,WBGene00016197,BWM_head_row_1,0.141820394053234,0.835123336447733,0.54,0.262630359357841,0.0060687215021121,0.0938953290108673,1.0
stn-1,WBGene00006062,BWM_head_row_2,0.0757785643999998,0.326838820007211,0.288888888888889,0.262310415230768,0.0028535311395493,0.310931407012514,1.0
zyx-1,WBGene00006999,BWM_posterior,0.143204367310594,0.954793210549427,0.547413793103448,0.261601678866597,0.0077910685411173,0.0542878992047267,1.0
pck-1,WBGene00021043,BWM_head_row_1,0.236366968943025,3.98319154439306,0.905,0.261178971207763,0.0227901023711917,0.0011298105187364,1.0
pat-10,WBGene00003934,BWM_anterior,0.261077612915738,155.038636753031,1.0,0.261077612915738,0.158071744220184,2.4864398344701804e-15,1.2705707554142599e-11
unc-82,WBGene00006814,BWM_far_posterior,0.105961160068267,0.456759156063353,0.407407407407407,0.260086483803929,0.0074029075934884,0.235323036799304,1.0
unc-94,WBGene00006823,BWM_far_posterior,0.115563747495562,0.596717858779271,0.444444444444444,0.260018431865015,0.0024638835800972,0.493718227223896,1.0
dys-1,WBGene00001131,BWM_posterior,0.103055151060914,0.468590838048127,0.396551724137931,0.259878207023174,0.0064077564616086,0.0810027649666977,1.0
mup-2,WBGene00003495,BWM_anterior,0.259258441806002,13.1568713735637,1.0,0.259258441806002,0.0577916678913463,2.44731692323572e-06,0.0125057894777345
T03G6.3,WBGene00020195,BWM_anterior,0.208388099470044,1.57561120186963,0.803921568627451,0.259214465194445,0.0219375863949505,0.0038762079729052,1.0
hip-1,WBGene00011735,BWM_head_row_2,0.0541379345856055,0.21751269423336,0.211111111111111,0.256442848037079,0.0012777048210076,0.497846227617425,1.0
tnt-2,WBGene00006587,BWM_head_row_2,0.153811681779456,1.01546284401211,0.6,0.25635280296576,0.0044983458586032,0.20319435386708,1.0
soc-2,WBGene00004929,BWM_anterior,0.0576255591625913,0.232659574939881,0.225490196078431,0.255556827590622,0.0026281125457622,0.318858868316241,1.0
pat-4,WBGene00003931,BWM_head_row_1,0.144116404785581,0.771364205417912,0.565,0.255073282806338,0.0140580889139661,0.0106712172318826,1.0
mlc-1,WBGene00003369,BWM_head_row_1,0.246644922264164,7.937535571802,0.97,0.254273115736252,0.0233594426893815,0.0009779688595722,1.0
unc-112,WBGene00006836,BWM_head_row_1,0.210236143183099,1.7038533429527,0.83,0.253296558051926,0.0277522916421214,0.0003228095140902,1.0
pat-3,WBGene00003930,BWM_anterior,0.162991582023023,1.21622056834846,0.647058823529412,0.251896081308308,0.0070328868939564,0.102748097330294,1.0
F42H10.3,WBGene00018367,BWM_head_row_2,0.0699013315969995,0.27426697797883,0.277777777777778,0.251644793749198,0.0033096235726089,0.275134006880868,1.0
unc-78,WBGene00006810,BWM_head_row_2,0.0809390151579274,0.320670665357643,0.322222222222222,0.251190047041844,0.0052088054720828,0.170860547082252,1.0
unc-95,WBGene00006824,BWM_anterior,0.174650252909409,1.38472796385235,0.696078431372549,0.250905997137461,0.006854414839122,0.107224154054458,1.0
lev-11,WBGene00002978,BWM_anterior,0.246819187950486,31.9664133871515,0.990196078431373,0.249262942286629,0.0402601627849037,8.74401014225305e-05,0.446818918269131
emb-9,WBGene00001263,BWM_anterior,0.241888721779843,4.21758820525638,0.970588235294118,0.249218683045899,0.0226840460348411,0.0033128650816228,1.0
unc-38,WBGene00006774,BWM_head_row_1,0.0759476039792676,0.314601276333515,0.305,0.249008537636943,0.0061762638113371,0.0910263593879327,1.0
unc-97,WBGene00006826,BWM_far_posterior,0.18439769315265,1.35626435301373,0.740740740740741,0.248936885756077,0.0071181697977818,0.244550878208285,1.0
cey-4,WBGene00000475,BWM_far_posterior,0.101205176313757,0.497660667093683,0.407407407407407,0.248412705497403,0.0040758353985835,0.378660509591643,1.0
deb-1,WBGene00000942,BWM_anterior,0.125653702297848,0.698655015821133,0.509803921568627,0.246474569891932,0.0048199505977552,0.176901952033729,1.0
unc-89,WBGene00006820,BWM_far_posterior,0.209249105993095,1.47409675916104,0.851851851851852,0.245640254861459,0.0214347140832037,0.0432316597204276,1.0
act-4,WBGene00000066,BWM_anterior,0.245236212419401,37.0738532494072,1.0,0.245236212419401,0.0432084093133999,4.78444487215898e-05,0.244485132967324
pfn-3,WBGene00003991,BWM_head_row_2,0.149628452771205,0.816950597651979,0.611111111111111,0.244846559080154,0.0069038527552897,0.114802897159399,1.0
gei-15,WBGene00001572,BWM_anterior,0.100364453863172,0.542654412688304,0.411764705882353,0.243742245096274,0.0042483776459493,0.204919886882123,1.0
pfd-2,WBGene00019220,BWM_posterior,0.0735143886896247,0.269003478633467,0.301724137931034,0.243647688228471,0.0081533121608711,0.0489651790864717,1.0
unc-60,WBGene00006794,BWM_far_posterior,0.214979491553649,2.03274411532211,0.888888888888889,0.241851927997855,0.0144262258680576,0.0974129710749214,1.0
ric-3,WBGene00004363,BWM_head_row_1,0.061626074131591,0.295913588715771,0.255,0.241670878947416,5.29849318139158e-06,0.960564306567539,1.0
C46G7.2,WBGene00016722,BWM_anterior,0.155837630861921,1.22987386099976,0.647058823529412,0.240839974968424,0.0025517509318613,0.325998104465287,1.0
unc-120,WBGene00006844,BWM_head_row_1,0.0599294251157168,0.282881696424404,0.25,0.239717700462867,0.0045582558052297,0.146656191489634,1.0
mlc-3,WBGene00003371,BWM_anterior,0.238814748368395,61.1762270143444,1.0,0.238814748368395,0.0234384862073666,0.0028276064187256,1.0
mlc-2,WBGene00003370,BWM_head_row_2,0.237134853841292,8.98750061036659,1.0,0.237134853841292,0.0136775981853476,0.0263019573871691,1.0
unc-70,WBGene00006803,BWM_head_row_2,0.056915523777133,0.22484846377206,0.244444444444444,0.232836233633726,0.0016500325266898,0.441071654683213,1.0
sup-9,WBGene00006318,BWM_head_row_2,0.149135194212379,0.897747855545077,0.644444444444444,0.231416680674382,0.002717160838788,0.322789158894432,1.0
unc-15,WBGene00006754,BWM_anterior,0.22155740483869,7.51512416482659,0.96078431372549,0.230600564219861,0.000106477401685,0.841037612604868,1.0
tln-1,WBGene00006771,BWM_anterior,0.150194524194413,1.0455935619134,0.656862745098039,0.228654350266121,0.0001419768399718,0.816847900455186,1.0
