,BWM_neck,BWM_middle_and_posterior,BWM_anterior,BWM_head,BWM_far_posterior,BWM_posterior
dhhc-5,15.371463,4.9582915,2.9631846,9.460188,0.0,2.025161
R144.3,15.371463,8.057224,10.86501,9.460188,0.0,15.188707
nhr-211,0.0,0.61978644,1.9754565,0.0,0.0,0.0
nhr-212,0.0,0.0,0.0,0.0,0.0,1.0125805
attf-5,58.603703,60.945667,52.349598,47.300938,51.342033,99.23289
ast-1,0.9607164,0.61978644,1.9754565,0.0,0.0,0.0
nhr-216,0.0,1.4461684,0.0,9.460188,0.0,1.0125805
ztf-4,26.90006,26.237627,36.545944,18.920376,23.337288,33.415157
T10D4.6,33.625076,35.74102,43.46004,18.920376,56.00949,46.5787
nhr-273,0.0,0.20659548,0.0,0.0,0.0,0.0
ceh-54,1.9214329,0.0,0.0,0.0,0.0,1.0125805
nhr-219,0.0,1.0329775,0.0,0.0,0.0,0.0
T20F7.1,37.46794,41.938885,49.386414,28.380564,42.00712,56.704506
dhhc-11,0.0,0.20659548,0.0,0.0,0.0,0.0
dmd-8,0.0,0.0,0.0,85.14169,0.0,0.0
nhr-221,0.0,0.61978644,0.0,0.0,0.0,0.0
nhr-222,1.9214329,1.0329775,0.98772824,9.460188,0.0,0.0
T24C4.2,1.9214329,0.8263819,0.0,0.0,0.0,0.0
ztf-18,30.742926,28.096987,38.5214,18.920376,18.66983,24.301931
T24G10.2,29.78221,50.409298,43.46004,28.380564,28.004745,62.77999
T26A5.8,3.8428657,8.470415,9.877282,0.0,9.334915,6.075483
T26A8.4,112.403824,85.94372,77.0428,66.22131,84.01424,67.84289
nhr-225,0.9607164,0.20659548,0.0,0.0,0.0,0.0
nhr-226,0.0,0.0,1.9754565,0.0,0.0,0.0
nhr-227,0.9607164,0.61978644,0.0,0.0,0.0,0.0
nhr-228,16.33218,12.189134,9.877282,0.0,14.002373,13.163547
hlh-30,393.89374,577.8476,524.4837,567.61127,695.4512,622.737
W02D7.6,29.78221,25.204649,37.533672,9.460188,37.33966,33.415157
sknr-1,0.0,0.0,0.98772824,0.0,0.0,0.0
W03F9.2,0.9607164,8.057224,7.901826,9.460188,0.0,4.050322
zfp-3,91.26806,123.3375,94.82191,94.601875,60.67695,98.22031
zip-11,3.8428657,1.0329775,10.86501,0.0,0.0,1.0125805
nfyb-1,32.66436,43.59165,39.50913,18.920376,46.674576,44.55354
nhr-275,0.0,0.20659548,0.0,0.0,0.0,0.0
Y37E11B.1,2.8821492,5.164887,6.914098,0.0,0.0,4.050322
Y37F4.6,30.742926,25.824436,35.558216,37.84075,28.004745,34.427734
nhr-236,0.0,0.0,0.0,0.0,0.0,0.0
hlh-33,3.8428657,1.6527638,0.98772824,0.0,0.0,4.050322
rabs-5,35.54651,33.675064,53.337326,75.6815,46.674576,46.5787
zip-4,14.410747,32.43549,30.619576,18.920376,23.337288,19.239029
nhr-237,0.0,0.0,0.0,0.0,0.0,0.0
nhr-238,2.8821492,0.8263819,1.9754565,0.0,0.0,0.0
Y47G6A.7,24.978628,16.94083,25.680935,9.460188,14.002373,22.27677
Y48G8AL.10,38.428658,57.64014,48.398685,75.6815,51.342033,66.830315
Y48G9A.11,1.9214329,0.41319096,0.98772824,0.0,0.0,0.0
Y52E8A.2,0.9607164,0.0,0.0,0.0,0.0,0.0
Y53G8AR.9,57.642986,67.96992,71.11643,47.300938,79.34678,76.956116
ztf-23,14.410747,9.503392,7.901826,9.460188,9.334915,12.150966
nhr-239,1.9214329,0.0,0.0,0.0,0.0,1.0125805
Y55F3AM.14,274.7649,161.97086,329.90125,56.761127,14.002373,58.729668
madf-1,8.646448,3.3055277,2.9631846,0.0,0.0,5.0629025
Y66H1A.4,151.7932,314.43832,287.42892,75.6815,228.70543,398.9567
dmd-9,0.9607164,0.61978644,0.98772824,0.0,0.0,0.0
rcor-1,26.90006,55.574184,61.23915,47.300938,42.00712,104.29579
Y82E9BR.1,0.0,0.61978644,1.9754565,0.0,0.0,2.025161
Y82E9BR.17,0.0,0.8263819,0.98772824,0.0,4.6674576,0.0
nhr-277,1.9214329,0.41319096,0.0,0.0,0.0,1.0125805
nhr-41,0.9607164,2.065955,0.98772824,0.0,0.0,3.0377414
zfh-2,8.646448,7.644033,5.926369,0.0,0.0,5.0629025
duxl-1,27.860777,30.162941,28.64412,0.0,28.004745,24.301931
ZC204.12,0.9607164,0.0,0.0,0.0,0.0,0.0
klu-2,3.8428657,16.114449,15.803652,0.0,9.334915,4.050322
ztf-8,86.46448,75.82054,83.9569,37.84075,46.674576,97.207726
madf-9,81.6609,61.978645,71.11643,75.6815,32.672203,66.830315
nhr-252,0.0,0.0,0.0,0.0,0.0,0.0
nhr-253,0.0,0.20659548,0.0,0.0,0.0,0.0
nhr-254,0.0,0.0,0.0,0.0,0.0,0.0
ZK177.3,0.9607164,0.41319096,1.9754565,0.0,0.0,0.0
ZK185.1,4.803582,5.5780783,4.938641,0.0,4.6674576,8.100644
ZK328.6,86.46448,39.253143,38.5214,113.522255,37.33966,31.389996
nhr-251,0.0,0.20659548,0.0,0.0,0.0,0.0
ZK546.5,10.567881,14.255089,17.779108,0.0,37.33966,25.314512
ZK652.6,53.80012,65.28417,69.140976,85.14169,70.01186,54.679344
snu-23,33.625076,45.6576,38.5214,9.460188,18.66983,46.5787
ZK686.5,0.0,1.6527638,0.0,9.460188,0.0,0.0
nhr-256,33.625076,16.734234,21.73002,47.300938,9.334915,13.163547
ceh-45,0.9607164,0.20659548,0.0,0.0,0.0,1.0125805
nfya-2,7.6857314,7.230842,11.852738,0.0,9.334915,11.138385
egrh-2,1.9214329,1.8593594,11.852738,0.0,0.0,2.025161
ceh-99,0.0,0.41319096,0.98772824,0.0,0.0,1.0125805
syd-9,322.80072,328.90002,306.19574,122.98244,485.4156,502.23993
dhhc-14,24.978628,27.4772,27.656391,9.460188,4.6674576,28.352253
alr-1,19.214329,0.20659548,2.9631846,37.84075,4.6674576,1.0125805
C27A2.7,0.9607164,0.0,0.0,0.0,0.0,0.0
nsy-7,56.68227,54.541206,68.15325,0.0,42.00712,63.79257
nhr-286,4.803582,7.8506284,3.950913,0.0,0.0,1.0125805
bnc-1,0.0,0.8263819,0.0,0.0,0.0,1.0125805
tbx-43,0.9607164,0.8263819,0.0,9.460188,0.0,0.0
Y53C10A.15,0.0,0.0,0.0,0.0,0.0,0.0
ceh-63,2.8821492,1.2395729,0.98772824,0.0,0.0,2.025161
nhr-146,34.585793,19.21338,42.472313,18.920376,18.66983,29.364834
maf-1,2.8821492,0.61978644,0.98772824,9.460188,0.0,0.0
