"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"str-209","str-209",4.80760897893976e-120,2.4690495173459e-119,-184.499237754576,-467.427654049555,7,2,882.12209767643,0,0,0,0.382100278885573,0.409781705422719,6.63581775901548e-122,4.1049891823902e-121,FALSE,TRUE,FALSE
"str-211","str-211",1.80174650217415e-111,8.32500870207781e-111,-189.395049016739,-452.472926440542,7,2,1146.26217801152,0,0,0,0.00190188610387275,0.00277192892871645,5.31681616008793e-111,2.94342010016406e-110,FALSE,TRUE,FALSE
"str-224","str-224",1.9072484403918e-102,7.90811525400106e-102,-192.102185239738,-434.276192490766,7,2,1052.38111454717,0,0,0,0.000532887384663259,0.000825788477185081,2.17322754796628e-101,1.076001268451e-100,FALSE,TRUE,FALSE
"str-225","str-225",9.10536387720893e-52,1.94394876260741e-51,-236.829664999635,-361.318896969231,7,2,1034.11827135031,0,0,0,2.60493429653836e-05,4.586516578691e-05,3.99844779845825e-49,9.86818385776876e-49,TRUE,FALSE,FALSE
"str-227","str-227",1.38664042834606e-89,4.9205437696163e-89,-246.202751909806,-458.56575913849,7,2,995.298147598862,0,0,0,8.42512052954158e-11,2.29389238400169e-10,1.0923490576223e-81,4.21487773047607e-81,TRUE,FALSE,FALSE
"str-228","str-228",2.69575951689476e-38,4.69616805401561e-38,-200.619924429764,-293.657377064398,7,2,1058.0339907108,0,0,0,3.24508418896701e-05,5.66230135407914e-05,1.25007537375552e-35,2.48060870264804e-35,TRUE,FALSE,FALSE
"str-236","str-236",1.27834074325909e-10,1.47898170820151e-10,-201.642045151501,-229.16412375007,7,2,1067.94154960129,0,0,0,3.76296258477688e-06,7.16968677806264e-06,1.33822482088524e-06,1.55037889597492e-06,TRUE,FALSE,FALSE
"str-245","str-245",8.1481055222625e-07,8.84251828504838e-07,-205.699610129148,-223.865976944095,7,2,1081.1965306067,0,0,0,0.000300093424536386,0.000476490307982968,0.000161068997111848,0.000177447775742507,TRUE,FALSE,FALSE
"str-249","str-249",2.05683993189767e-39,3.63817385803405e-39,-207.763395161271,-303.415070441027,7,2,1200.26625345656,0,0,0,2.691308030981e-19,1.25033362442204e-18,8.85611082182321e-23,1.38934763097131e-22,TRUE,FALSE,FALSE
"str-253","str-253",9.73324754457058e-10,1.10929433486053e-09,-204.384165721287,-229.758930193064,7,2,1039.02153838252,0,0,0,6.31607240331592e-08,1.4083181634005e-07,0.000533233775113674,0.000579497215087471,TRUE,FALSE,FALSE
"str-261","str-261",0.0101946917600352,0.010367690251295,-203.228389312335,-210.748162546219,7,2,1022.27823739163,0,0,0,0.0988885819334146,0.115261573953335,0.0153697240111161,0.0161018534431507,FALSE,FALSE,FALSE
"str-262","str-262",2.81973146813552e-289,6.64574429792584e-288,-181.122714412991,-855.020324069288,7,2,1010.76218929046,0,0,0,1.21475498042492e-112,3.69491793196796e-110,4.0562651173752e-180,4.46050818261975e-179,TRUE,FALSE,FALSE
"sue-1","sue-1",3.82138445238125e-122,2.01190525006003e-121,-193.648678485889,-481.437311241906,7,2,1130.66652664702,0,0,0,1.70221389607515e-12,5.25194071169904e-12,1.10998768542126e-112,6.25231008968419e-112,FALSE,TRUE,FALSE
"suf-1","suf-1",1.83425164961315e-77,5.56558833868128e-77,-188.70596480983,-372.946188666019,7,2,1001.98843009209,0,0,0,0.00200704383606804,0.00291465216478272,7.27521452384648e-77,2.64450357021261e-76,FALSE,TRUE,FALSE
