"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"cth-2","cth-2",0,0,-265.455636944771,-2671.271050566,7,2,716.956520867991,0,0,0,1.57656777432976e-82,3.20502510592308e-81,0,0,FALSE,TRUE,FALSE
"ZK1127.12","ZK1127.12",1.17399590121166e-38,2.58799233193397e-38,-112.658403024438,-206.540535076578,7,2,78.4389585841397,0,0,0,2.36690192141273e-07,6.05279598272439e-07,7.18291699701058e-34,1.63345753856408e-33,FALSE,TRUE,FALSE
"ZK1193.2","ZK1193.2",0.0109052528511429,0.0127145137204943,-57.2262337123142,-64.6642635756257,7,2,3.19934457058679,0,0,0,0.0115489050762754,0.0177975240163115,0.113883168287131,0.129280371520093,FALSE,FALSE,FALSE
"dve-1","dve-1",2.56269088300183e-73,7.65767186744625e-73,-97.7900329377199,-272.405460963877,7,2,16.7687562828456,0,0,0,2.95563993312875e-19,1.60701083851496e-18,6.44358930722946e-57,1.8320476758703e-56,TRUE,FALSE,FALSE
"ZK1236.1","ZK1236.1",8.15094695022815e-74,2.44331379294585e-73,-104.211564368374,-279.98233698196,7,2,70.022772066146,0,0,0,0.0298672816088077,0.0433853349085951,2.2926080812453e-74,7.3741290657932e-74,FALSE,TRUE,FALSE
"ZK1236.5","ZK1236.5",1.48423290413361e-131,5.98781747936384e-131,-160.999169485659,-470.565837490435,7,2,174.889420496174,0,0,0,1.6102959435402e-28,1.25590618799282e-27,3.96664662556161e-106,1.51963665044388e-105,FALSE,TRUE,FALSE
"ufbp-1","ufbp-1",4.40489629106679e-08,6.00518673220192e-08,-154.925216100164,-176.236905917772,7,2,153.742442097658,0,0,0,3.86122852549818e-07,9.69426336389287e-07,0.00444770770041135,0.00547381447731364,TRUE,FALSE,FALSE
"ZK1240.1","ZK1240.1",0.8789477340848,0.879657090959838,-14.9491240114523,-15.8380565718915,7,2,0.0984970259766974,0,0,0,0.793155122101959,0.838565957725975,0.725718377141646,0.740368684843721,FALSE,FALSE,FALSE
"ZK1240.2","ZK1240.2",8.06421554900647e-11,1.17098918091815e-10,-27.7478404998053,-55.7559616633301,7,2,1.45535060616436,0,0,0,0.247802325277958,0.307761967313514,1.64083581697605e-11,2.60944206426664e-11,FALSE,TRUE,FALSE
"ZK1240.3","ZK1240.3",0,0,-141.857458813942,-1734.92742124106,7,2,197.140195080332,0,0,0,5.46022081255911e-149,1.81868222560466e-147,0,0,TRUE,FALSE,FALSE
"ZK1240.9","ZK1240.9",5.5446973478635e-11,8.07170543118182e-11,-33.1089870458023,-61.5119714395136,7,2,1.79099506821195,0,0,0,0.000113733245157968,0.000223569521423192,2.06613415498744e-08,3.04740610361871e-08,TRUE,FALSE,FALSE
