,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
atgp-1,1,1,1,1,4,16,21,19,23,19
atgp-2,2,4,6,8,25,24,9,10,7,10
atl-1,22,12,14,11,11,9,4,11,7,4
atm-1,19,25,23,17,7,2,1,3,5,3
atn-1,3,1,1,1,2,7,9,17,26,38
atp-2,8,6,7,7,7,9,12,13,16,19
atp-3,9,8,8,9,9,10,10,11,13,17
atx-2,26,18,15,11,7,8,6,7,4,3
avr-14,2,1,1,1,6,8,16,22,24,26
avr-15,15,33,8,9,7,5,6,8,11,5
baf-1,26,20,18,16,9,4,3,3,3,2
bag-1,10,14,17,18,10,7,8,8,6,6
bam-2,7,3,15,2,6,14,6,8,7,37
bar-1,11,2,1,1,1,6,30,18,16,19
bas-1,1,6,6,1,6,16,28,16,18,11
pah-1,1,4,6,6,5,6,12,14,29,22
bbs-1,1,6,1,2,2,7,7,13,66,1
bbs-2,18,4,1,1,3,11,5,13,12,37
bbs-8,2,4,8,10,4,10,14,9,20,24
bca-1,4,1,7,4,7,6,12,14,21,29
bec-1,12,11,12,13,8,11,12,10,8,8
ben-1,21,5,5,5,5,6,6,26,14,12
bir-1,21,21,16,17,11,5,4,4,4,3
bir-2,43,9,12,13,2,4,15,1,6,1
bli-2,71,21,1,1,11,1,1,1,1,1
bli-3,6,25,22,23,16,9,3,1,1,1
bli-4,7,7,10,8,7,5,4,8,28,21
bli-5,1,20,1,5,24,10,5,1,1,39
bli-6,1,18,6,18,12,1,6,1,42,1
bmk-1,28,26,21,16,6,2,1,2,1,2
bpl-1,7,12,16,15,16,12,5,9,9,4
bra-1,25,20,13,14,14,6,6,3,2,2
F23H11.5,6,7,7,8,8,10,13,14,15,18
brc-1,30,18,21,14,7,1,4,3,4,2
brd-1,27,25,20,18,8,1,1,1,2,1
bre-1,2,5,6,10,14,18,16,9,12,13
bre-2,1,4,1,4,1,11,11,29,1,43
bre-3,4,6,7,7,19,20,15,4,8,14
bre-4,6,7,5,8,16,14,6,12,10,20
bre-5,14,14,14,13,16,12,7,7,5,3
brf-1,14,20,16,17,13,7,6,6,4,2
bro-1,1,1,1,1,3,51,42,4,1,1
brp-1,9,1,4,1,6,40,9,13,5,18
btf-1,31,18,12,8,11,6,3,8,2,5
bub-1,30,21,23,15,6,2,1,2,2,2
byn-1,11,14,17,18,14,10,5,6,5,4
cab-1,3,24,17,22,21,9,4,2,1,1
cah-1,2,4,3,3,1,2,10,19,30,31
cah-2,7,13,3,9,4,23,32,3,9,2
cah-3,1,1,1,1,2,3,8,20,18,53
cah-4,1,1,1,1,1,2,1,2,1,95
cah-5,1,1,1,1,1,4,35,35,20,8
cah-6,50,5,20,5,2,3,7,6,2,3
cal-1,1,1,1,2,2,2,11,18,23,43
cal-2,1,1,1,1,1,4,31,31,21,16
cal-3,1,21,1,1,21,1,27,14,21,1
cal-4,1,1,1,1,1,3,7,17,24,52
cam-1,9,11,11,13,15,10,11,9,10,6
cap-1,9,13,12,13,13,11,9,8,8,9
cap-2,8,12,13,13,12,11,10,8,9,10
cas-1,6,8,9,10,15,17,17,12,8,4
cat-1,21,17,14,18,7,9,7,10,1,1
cat-2,1,1,49,23,8,1,8,1,1,15
cat-4,1,14,1,3,28,3,9,33,11,3
cav-1,27,24,19,14,6,2,3,4,4,2
cav-2,1,3,1,3,15,15,25,3,27,13
cbp-1,20,15,16,15,13,8,7,6,4,2
cca-1,1,9,9,14,36,20,6,4,2,4
ccb-1,1,2,3,4,19,26,16,12,11,11
ccf-1,15,15,16,15,14,9,7,7,5,2
ccg-1,1,1,5,5,2,3,3,2,11,73
cco-1,8,8,9,10,9,10,11,11,13,16
cyp-13A7,1,1,1,1,1,1,1,1,53,48
cyp-14A5,1,1,1,1,8,8,24,1,62,1
cyp-44A1,29,18,20,15,5,2,2,1,6,5
ccr-4,15,16,16,16,14,8,6,6,5,3
cct-1,6,5,5,6,5,5,10,19,22,21
cct-2,5,3,4,5,5,5,10,22,24,21
cct-4,5,4,4,5,5,5,12,21,24,20
cct-5,9,8,6,7,7,6,10,16,19,17
cct-6,4,5,5,5,6,6,12,18,23,21
cdc-6,44,14,13,10,8,5,3,3,5,2
cdc-14,18,15,13,11,11,8,9,7,7,5
cdc-25.1,12,23,22,26,10,3,3,5,1,1
cdc-25.2,25,14,15,9,16,13,4,3,4,2
cdc-25.3,12,18,1,1,9,11,14,15,17,8
cdc-25.4,17,10,26,1,1,1,1,17,1,33
cdc-42,10,13,12,12,12,9,9,10,10,8
cdd-1,1,2,9,7,4,8,11,3,26,35
cdd-2,19,13,13,10,4,11,8,11,7,10
cdf-1,9,7,11,10,10,15,20,7,8,9
cdh-3,3,4,3,4,25,15,11,9,16,15
cdh-4,35,18,17,13,7,3,3,3,3,3
cdh-5,20,4,11,7,2,8,14,18,9,11
cdh-9,1,6,6,8,2,43,12,7,3,16
casy-1,6,6,9,11,6,3,4,8,31,20
cdk-1,30,22,23,17,6,1,1,2,1,1
cdk-4,33,9,15,15,8,4,2,4,13,3
cdk-5,16,18,19,20,11,8,4,4,2,3
cdk-7,14,20,19,19,12,6,4,3,4,3
cdk-8,17,19,16,18,12,8,5,5,4,2
cdk-9,15,15,14,17,16,8,5,3,6,6
cdl-1,36,24,21,14,4,1,1,2,2,1
cdr-1,1,1,1,9,1,17,34,34,1,9
cdt-1,34,22,20,14,4,1,2,3,2,3
cec-1,19,17,17,19,14,8,4,3,3,2
ced-1,9,3,28,27,10,4,3,6,9,5
ced-2,21,17,21,15,7,4,4,5,6,4
ced-3,39,16,17,15,6,2,3,1,1,4
ced-4,23,20,19,20,10,4,3,2,2,2
ced-5,24,15,17,16,10,7,4,4,5,4
ced-6,6,9,14,11,7,7,5,9,19,17
ced-7,22,18,16,14,11,7,4,7,3,3
ced-8,35,24,19,13,7,2,1,1,1,2
ced-9,20,23,25,17,8,3,2,2,1,2
ced-10,13,14,15,15,14,12,9,5,4,4
ced-11,15,12,17,6,8,10,17,11,5,4
ced-12,10,17,15,16,12,8,7,7,6,7
ced-13,1,1,1,1,1,1,1,1,101,1
ceh-1,1,1,1,1,1,1,9,21,17,57
ceh-2,4,5,4,2,2,14,6,16,11,41
ceh-5,3,5,4,5,5,11,30,22,13,7
ceh-6,20,8,9,13,10,3,8,8,11,15
ceh-8,1,7,22,5,5,5,5,22,8,26
ceh-9,1,1,1,1,11,22,27,22,1,22
ceh-10,20,3,12,11,7,6,4,13,17,12
ceh-12,1,1,1,1,1,21,81,1,1,1
ceh-13,3,17,19,15,17,11,7,6,4,4
ceh-14,1,1,1,1,1,1,1,101,1,1
ceh-16,1,10,17,21,21,13,8,4,2,8
ceh-17,1,1,1,1,8,7,4,1,79,5
ceh-18,1,1,1,1,1,5,16,26,24,31
ceh-19,1,5,1,20,2,10,22,17,15,13
ceh-20,10,14,16,17,16,13,8,6,3,2
ceh-21,29,17,13,13,12,5,4,5,5,3
ceh-22,4,8,6,6,5,9,23,13,13,17
ceh-24,1,6,1,1,1,9,23,35,12,18
pros-1,3,1,1,2,10,12,16,15,30,14
ceh-27,7,6,5,12,7,11,15,14,12,16
ceh-28,1,9,1,1,1,6,11,1,1,76
ceh-30,5,10,9,16,8,12,9,5,21,10
ceh-31,12,4,6,7,14,7,8,11,27,9
ceh-32,18,2,8,1,8,10,9,14,23,14
ceh-33,1,1,1,1,1,1,7,22,28,43
ceh-34,1,1,22,22,14,11,11,12,7,5
ceh-36,35,5,14,3,5,8,8,10,6,10
ceh-37,6,11,3,3,10,12,15,22,15,8
ceh-38,23,18,13,14,11,7,6,4,5,3
ceh-39,33,8,15,11,10,8,6,6,6,3
ceh-40,47,21,17,10,2,2,1,1,1,3
ceh-41,23,14,16,14,15,10,6,2,3,2
ceh-43,11,6,4,4,12,8,13,12,25,10
ceh-44,24,10,19,13,7,5,8,6,9,5
cpg-1,1,43,1,1,15,8,36,1,1,1
cel-1,14,18,17,17,13,9,7,5,3,3
cep-1,49,13,15,7,5,4,3,3,4,2
ces-1,10,11,29,14,3,4,5,6,3,20
ces-2,1,19,15,29,31,6,1,1,1,1
cey-1,4,7,7,8,11,15,17,14,13,10
cey-2,26,4,15,8,8,26,18,1,1,1
cey-3,35,10,7,4,14,6,6,10,6,5
cey-4,17,15,15,15,11,8,6,5,6,7
cfi-1,1,1,6,7,2,1,8,36,29,16
cft-1,1,16,16,13,1,1,7,1,52,1
cfz-2,2,1,13,12,11,12,6,12,17,18
cgh-1,31,10,8,7,11,8,7,9,6,7
cgp-1,10,15,13,14,11,9,7,8,9,9
cha-1,1,1,13,1,5,5,3,40,18,20
chd-3,27,18,14,15,13,5,4,3,2,3
che-1,41,21,11,1,1,1,21,11,1,1
che-2,1,1,1,1,9,34,34,1,9,17
che-3,20,2,7,2,1,6,15,26,6,21
che-7,1,3,1,3,3,7,32,5,32,21
che-11,1,6,1,8,11,3,24,11,37,3
che-12,1,1,10,10,1,3,10,20,9,39
che-13,2,1,7,4,3,10,13,12,31,20
che-14,59,6,18,11,2,2,3,1,2,1
chs-1,54,15,20,5,3,3,5,1,1,1
chs-2,1,6,17,11,7,8,13,12,14,18
chk-1,34,21,19,15,6,1,3,2,1,3
chk-2,101,1,1,1,1,1,1,1,1,1
chn-1,20,11,12,12,10,7,8,8,12,5
cho-1,71,1,1,1,6,1,21,6,1,1
chp-1,12,9,11,11,9,7,11,16,12,7
cht-1,64,12,16,3,2,1,2,2,2,1
cic-1,19,17,14,16,13,9,6,4,5,3
cit-1.1,12,15,14,16,15,8,8,8,5,3
cit-1.2,11,15,13,13,14,9,7,7,8,8
cka-1,2,1,2,3,3,7,20,25,19,24
cka-2,1,1,1,1,1,9,23,20,23,27
ckb-1,28,13,13,20,6,6,4,1,5,9
ckb-2,14,12,31,28,10,4,2,1,3,1
ckb-3,1,1,1,1,1,1,101,1,1,1
ckb-4,14,15,15,17,12,11,8,5,5,2
ckc-1,11,1,1,21,7,7,4,7,25,21
cki-1,1,11,15,23,19,16,9,6,4,2
cki-2,5,3,14,13,9,15,17,14,10,5
ckk-1,1,2,1,5,11,24,22,21,15,4
cku-70,13,25,26,24,8,2,1,3,2,2
cku-80,45,22,17,10,5,2,1,1,3,1
cky-1,11,2,1,1,11,9,17,14,4,36
clc-1,1,2,1,9,2,4,2,26,26,33
clc-2,13,25,1,5,13,5,5,15,3,20
clc-3,1,2,4,1,1,4,10,24,41,18
clc-4,1,1,1,26,1,26,1,1,51,1
clc-5,12,5,18,12,6,3,14,11,20,5
cle-1,10,6,1,7,5,11,8,21,30,7
clh-1,2,1,1,1,1,10,52,28,8,3
clh-2,1,1,1,1,1,3,2,21,63,13
clh-3,1,12,1,23,12,1,1,56,1,1
clh-4,1,1,1,1,51,1,51,1,1,1
clh-5,16,15,17,15,14,8,6,4,3,6
clh-6,11,15,14,12,17,10,10,8,5,3
cpi-2,10,10,13,13,10,9,12,12,9,7
cpi-1,1,1,1,1,1,1,3,6,27,63
clk-1,7,9,12,13,12,13,11,12,11,7
clk-2,10,16,17,18,12,11,5,6,6,4
cln-3.1,1,1,1,7,7,1,1,7,82,1
cln-3.2,11,16,16,16,19,12,6,3,4,3
cln-3.3,1,7,1,5,3,7,7,5,58,12
clp-1,10,8,6,7,7,8,7,6,19,27
clp-2,18,18,13,15,11,8,6,5,6,7
clp-3,1,17,1,26,17,42,1,1,1,1
clp-4,35,5,11,4,11,12,3,3,20,2
clp-6,1,1,1,1,1,1,1,1,101,1
clp-7,16,14,11,11,14,6,10,4,5,13
clr-1,7,11,12,12,14,11,8,12,11,7
cls-2,18,19,20,12,10,7,5,6,3,4
clu-1,5,7,6,6,11,15,15,12,14,13
cmd-1,9,9,9,8,6,6,13,20,17,8
cmk-1,3,2,1,3,9,15,17,29,17,10
cnb-1,1,4,5,6,8,13,15,14,17,22
cnc-2,1,1,1,10,1,1,10,55,28,1
cnc-3,6,1,1,1,1,5,1,23,23,43
cnc-4,6,2,7,9,3,6,8,18,11,34
cnc-6,1,12,6,1,1,6,12,17,6,45
cnd-1,1,9,5,3,31,21,8,11,9,7
cng-1,24,11,8,4,7,4,22,3,3,18
cng-3,1,1,1,1,1,1,1,101,1,1
cnk-1,21,16,11,12,17,7,8,7,4,2
cnt-1,9,21,10,19,15,13,5,4,1,10
cnt-2,19,21,22,22,14,2,1,2,1,1
cnx-1,28,10,12,8,8,8,10,9,6,5
cof-2,2,4,6,10,32,37,8,1,2,5
cog-1,16,37,3,14,4,6,5,5,5,10
cogc-2,15,21,19,20,13,7,4,3,3,2
coh-1,16,17,14,18,17,9,4,4,2,3
coh-3,15,10,8,2,6,2,2,8,51,1
col-2,12,12,29,27,12,5,1,1,1,7
col-3,50,1,1,1,2,2,17,4,2,25
col-8,39,24,31,1,1,1,8,1,1,1
col-9,1,1,1,101,1,1,1,1,1,1
col-10,1,4,1,2,1,8,13,11,29,36
col-12,1,1,1,1,1,6,12,1,24,59
col-13,1,1,1,1,1,1,101,1,1,1
col-14,1,1,1,1,2,4,18,20,7,51
col-17,1,1,1,1,101,1,1,1,1,1
col-33,1,8,1,6,3,6,31,18,16,18
col-34,2,1,2,2,3,6,7,6,13,66
col-35,1,1,1,1,1,1,1,1,101,1
col-38,10,22,31,15,13,3,1,9,1,1
col-39,58,8,8,6,2,1,2,15,3,6
col-40,1,1,1,1,51,1,51,1,1,1
col-41,1,67,1,34,1,1,1,1,1,1
col-43,1,8,1,1,3,1,3,36,26,28
col-44,71,1,17,1,1,1,1,14,1,1
col-46,1,43,1,1,1,29,1,29,1,1
col-47,1,1,1,1,51,1,51,1,1,1
col-48,16,3,1,2,3,5,7,9,35,27
col-50,39,20,30,10,4,1,1,1,1,1
col-51,1,1,1,1,1,26,1,1,76,1
col-53,1,1,1,1,1,25,5,29,9,37
col-54,1,1,1,1,1,1,4,12,41,45
col-55,1,13,1,1,38,1,13,1,38,1
col-56,1,6,1,1,3,9,22,51,10,4
col-58,1,1,1,1,7,5,9,11,27,44
col-60,1,1,1,1,51,1,51,1,1,1
col-61,1,1,1,1,7,7,14,1,41,34
col-63,30,1,1,1,7,3,3,1,40,21
col-64,1,17,1,17,34,17,12,1,1,6
col-65,1,2,1,1,5,6,14,12,29,35
col-68,1,1,1,1,3,3,50,29,14,2
col-69,1,14,10,11,13,9,5,9,4,30
col-71,23,19,23,20,7,3,3,2,1,5
col-72,1,1,1,26,26,1,51,1,1,1
col-73,1,1,1,1,1,1,101,1,1,1
col-74,3,1,1,1,1,6,7,6,36,43
col-75,1,11,1,11,6,16,21,21,21,1
col-76,23,9,1,4,6,7,12,14,14,15
col-77,1,1,1,1,2,9,18,4,22,47
col-78,1,1,1,1,1,26,76,1,1,1
col-80,1,1,1,1,1,1,1,1,1,101
col-81,1,1,21,1,21,61,1,1,1,1
col-83,1,1,1,34,1,34,1,34,1,1
col-84,1,26,51,1,13,1,13,1,1,1
col-85,1,12,1,1,1,45,23,1,1,23
col-86,1,1,1,76,1,1,26,1,1,1
col-88,1,1,1,1,1,1,81,1,1,21
col-89,6,15,1,3,2,6,9,29,16,16
col-90,1,1,1,1,1,1,1,101,1,1
col-91,1,1,1,1,1,101,1,1,1,1
col-93,1,1,1,1,1,1,26,1,1,76
col-94,1,1,1,1,1,4,1,1,1,97
col-96,1,76,1,1,1,26,1,1,1,1
col-97,1,1,1,1,3,6,11,26,35,22
col-98,1,7,7,1,1,7,1,1,38,44
col-99,3,4,6,1,1,1,8,44,23,14
col-101,1,1,1,1,1,13,13,1,1,76
col-103,8,10,29,18,16,10,4,1,2,6
col-104,8,1,1,1,4,1,27,4,38,22
col-105,1,3,3,3,7,5,8,32,26,17
col-107,5,1,2,3,4,5,17,2,15,51
col-108,1,1,1,1,1,1,1,1,1,101
col-109,1,3,1,4,1,4,22,25,6,40
col-110,7,2,1,1,2,6,17,51,19,1
col-111,1,9,19,9,8,4,4,15,8,28
col-113,10,5,1,2,5,8,12,7,44,14
col-114,1,1,1,1,1,1,34,1,67,1
col-115,1,1,1,1,1,3,8,12,15,65
col-116,1,1,1,1,1,101,1,1,1,1
col-117,1,1,1,5,5,5,21,17,9,42
col-118,3,14,5,9,2,7,8,14,10,34
col-119,59,9,34,1,1,1,1,1,1,1
col-120,1,13,21,27,17,5,5,11,1,9
col-121,7,10,14,8,9,5,15,11,15,13
col-122,1,1,1,1,1,1,1,101,1,1
col-124,1,1,45,51,1,1,6,1,1,1
col-125,5,2,1,1,5,1,18,5,6,61
col-127,1,1,1,1,34,1,1,1,1,67
col-128,1,1,1,34,1,1,1,1,67,1
col-130,1,1,1,1,1,5,14,1,36,47
col-131,1,2,3,3,1,5,3,2,1,85
col-132,51,21,7,8,8,4,4,1,1,1
col-135,101,1,1,1,1,1,1,1,1,1
col-137,1,1,1,1,1,1,101,1,1,1
col-140,1,1,1,1,101,1,1,1,1,1
col-141,1,1,1,1,54,1,8,31,1,8
col-143,1,1,1,1,1,1,1,1,1,101
col-144,1,1,1,1,10,4,4,34,6,45
col-145,1,1,1,1,1,1,7,1,44,51
col-146,1,1,1,1,1,1,101,1,1,1
col-147,86,1,1,1,1,8,8,1,1,1
col-148,1,1,1,1,1,1,18,40,36,8
col-149,1,34,1,1,1,1,34,34,1,1
col-150,23,1,12,1,17,3,6,3,12,28
col-151,1,1,1,1,1,1,1,101,1,1
col-153,1,11,1,1,6,11,1,41,21,16
col-154,1,1,1,1,5,9,12,38,3,36
col-155,1,1,1,1,42,1,1,51,1,9
col-157,1,21,21,27,1,7,14,7,1,7
col-158,1,1,1,1,1,1,101,1,1,1
col-159,1,1,1,1,1,17,51,1,17,17
col-160,1,1,1,1,1,1,21,1,1,81
col-161,1,17,63,1,1,5,1,17,1,1
col-162,35,4,41,1,1,1,1,1,1,22
col-164,74,6,1,8,8,6,1,1,1,1
col-165,2,1,1,1,1,3,14,4,15,63
col-166,1,1,7,7,3,4,2,6,4,70
col-167,1,1,1,1,22,1,1,1,22,57
col-168,24,1,6,1,1,6,9,3,1,53
col-170,1,1,1,1,1,1,1,1,1,101
col-172,1,1,3,2,3,3,5,5,14,68
col-173,1,1,1,1,1,71,21,1,1,11
col-174,31,4,7,1,9,6,14,7,16,12
col-175,1,1,1,1,1,101,1,1,1,1
col-176,1,21,1,7,7,41,1,7,21,1
col-177,1,1,1,1,6,24,12,59,1,1
col-178,1,1,1,101,1,1,1,1,1,1
col-180,1,1,1,1,8,36,8,1,1,51
col-181,1,1,1,1,11,35,38,5,1,15
