,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
rpl-33,352,638,638,715,959,1172,1248,1328,1415,1536
rpl-34,541,661,753,777,944,1116,1200,1232,1385,1390
rpl-35,415,645,707,734,889,1133,1182,1209,1484,1603
rpl-36,541,582,583,608,837,1051,1157,1298,1695,1649
rpl-37,693,525,455,455,938,1394,1352,1772,1197,1218
rpl-38,407,629,701,741,843,1104,1189,1273,1631,1482
rpl-39,326,567,631,745,877,1196,1173,1385,1658,1441
rpl-36.A,382,567,613,724,926,1210,1233,1354,1506,1487
rpl-43,541,755,765,842,925,1105,1169,1224,1364,1311
rpm-1,1189,3216,220,617,705,176,396,881,1145,1454
rpn-1,1815,1457,1393,1157,981,902,986,745,284,280
rpn-2,1932,1655,1822,1378,1157,603,646,129,388,289
rpn-3,2144,1235,1299,1136,1145,639,497,840,480,583
rpn-5,1037,1495,1486,1570,1234,804,579,1028,93,673
rpn-6.1,1530,1713,1756,1592,1146,618,410,497,501,238
rpn-7,1300,1543,1638,1579,1045,647,599,570,635,445
